"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,156.361,-26.582,165.449,0,0,0,0.00117724,0.0017915,0.00411347,0.0108908,156.009,-29.061,85.3469,0,0,0,0.000939921,0.00149054,0.00351818,0.008221,156.945,-28.0971,5.83591,0,0,0,0.00105848,0.00188778,0.00429848,0.00914554,154.629,-29.5001,-72.2965,0,0,0,0.000844817,0.0016464,0.00359493,0.00680325,7.06861,-15.6345,-0.00315229,0,0,0,0.00201822,0.00146102,0.00328697,0.00703211
1,156.361,-26.582,165.449,-0.00203272,0.0747072,0.000471266,0.000497127,0.000723659,0.00165984,0.00309592,156.009,-29.061,85.3469,0.00826823,0.0417571,0.0213613,0.000396602,0.000604976,0.00142783,0.00233384,156.945,-28.0971,5.83591,-0.00465899,0.00971648,-0.000262893,0.000358082,0.000602406,0.00138398,0.00206333,154.629,-29.5001,-72.2965,0.009568,-0.0139757,0.0248326,0.000511513,0.000950361,0.00210431,0.00278906,7.06861,-15.6345,-0.00315229,0.00111429,-0.00226369,0.000870089,0.000915098,0.000913204,0.00209658,0.00305199
2,156.361,-26.582,165.449,-0.0968363,0.0590816,0.0700521,0.00049607,0.000724736,0.00166148,0.00309245,156.009,-29.061,85.3469,-0.0331683,0.0319605,0.111625,0.000393738,0.00060063,0.00141766,0.00232036,156.945,-28.0971,5.83591,-0.0140854,0.017804,0.081874,0.000336946,0.000567322,0.00130207,0.00194308,154.629,-29.5001,-72.2965,0.0562345,0.000303283,0.106391,0.000509953,0.000945753,0.00209388,0.00278537,7.06861,-15.6345,-0.00315229,0.000576127,-0.00170614,-0.00259043,0.000922325,0.000922985,0.00211891,0.00308215
3,156.361,-26.582,165.449,-0.0424013,0.0875435,0.00366551,0.000539154,0.000788007,0.00180849,0.00336528,156.009,-29.061,85.3469,0.00193988,0.0462585,0.0739353,0.000387708,0.000590897,0.00139434,0.00228624,156.945,-28.0971,5.83591,-0.0183717,0.0142019,0.0180971,0.000343402,0.000577113,0.00132609,0.00198383,154.629,-29.5001,-72.2965,0.0380138,-0.0114644,0.0749656,0.000492012,0.000915872,0.00202758,0.00269104,7.06861,-15.6345,-0.00315229,0.000252838,-0.00586458,-0.00509799,0.00091062,0.000927283,0.00213049,0.00309899
4,156.361,-26.582,165.449,-0.161532,0.0918159,0.0994091,0.000535966,0.000782359,0.00179449,0.0033377,156.009,-29.061,85.3469,-0.0540117,0.0540538,0.178922,0.000375899,0.000573415,0.00135312,0.00221425,156.945,-28.0971,5.83591,-0.0267139,0.0294457,0.117041,0.000338987,0.000570011,0.00130877,0.00195868,154.629,-29.5001,-72.2965,0.0978833,0.00781152,0.188288,0.000490147,0.000913379,0.0020208,0.00269084,7.06861,-15.6345,-0.00315229,0.00111501,-0.00312487,-0.00406107,0.00092615,0.000933745,0.00214368,0.00312239
5,156.361,-26.582,165.449,0.0118603,0.134901,-0.0558396,0.000492814,0.000717573,0.00164717,0.00307378,156.009,-29.061,85.3469,0.0370247,0.0664708,0.0284407,0.000392155,0.00059822,0.00141247,0.00230505,156.945,-28.0971,5.83591,-0.0289736,0.0104481,-0.0441639,0.000360104,0.000602548,0.00138446,0.00207127,154.629,-29.5001,-72.2965,0.0232335,-0.0404801,0.0446755,0.000491585,0.000914644,0.00202467,0.00268545,7.06861,-15.6345,-0.00315229,0.000965034,-0.00393246,0.000707951,0.000924978,0.000934,0.00214475,0.0031222
6,156.361,-26.582,165.449,-0.0803101,0.0748021,0.0140657,0.000503799,0.000735268,0.00168691,0.00313999,156.009,-29.061,85.3469,-0.00928811,0.0382198,0.100725,0.000402219,0.000614068,0.00144945,0.0023674,156.945,-28.0971,5.83591,-0.0354625,0.0146086,0.0210483,0.000330238,0.000553632,0.00127175,0.00190388,154.629,-29.5001,-72.2965,0.06767,-0.00804099,0.116313,0.000495606,0.000919135,0.00203622,0.00270611,7.06861,-15.6345,-0.00315229,0.000964298,-0.00323094,-0.0030897,0.000924432,0.000928258,0.00213103,0.00310172
7,156.361,-26.582,165.449,-0.0350976,0.059154,-0.0382313,0.000488646,0.000711589,0.00163266,0.00304207,156.009,-29.061,85.3469,0.0113454,0.0223217,0.0503889,0.000397923,0.00060838,0.0014364,0.00234352,156.945,-28.0971,5.83591,-0.0391575,-0.00580852,-0.0446028,0.000327234,0.000547943,0.00125785,0.00188014,154.629,-29.5001,-72.2965,0.0464992,-0.0204393,0.0753647,0.000502137,0.000929524,0.0020612,0.00273433,7.06861,-15.6345,-0.00315229,-0.000207927,-0.0038461,-0.00355203,0.000916656,0.000915447,0.0021009,0.00305888
8,156.361,-26.582,165.449,-0.0924542,0.105861,0.0141323,0.000507062,0.000737911,0.00169147,0.00315471,156.009,-29.061,85.3469,-0.0194999,0.0520115,0.0992794,0.000400376,0.000611581,0.00144377,0.00235784,156.945,-28.0971,5.83591,-0.0394002,0.0139709,0.00455583,0.000330166,0.000556355,0.00127649,0.00190429,154.629,-29.5001,-72.2965,0.0742227,-0.0177964,0.117427,0.00050106,0.000928748,0.00205744,0.00273217,7.06861,-15.6345,-0.00315229,0.00157627,0.000193566,0.00258324,0.000914895,0.00091483,0.00209998,0.00305504
9,156.361,-26.582,165.449,-0.067315,0.0881295,-0.0209145,0.000519187,0.000758264,0.00173885,0.00324228,156.009,-29.061,85.3469,-0.0107742,0.042188,0.0669374,0.000400078,0.000610706,0.00144194,0.00235137,156.945,-28.0971,5.83591,-0.0395329,0.00344807,-0.0467127,0.00033703,0.000569152,0.001306,0.00194508,154.629,-29.5001,-72.2965,0.0606508,-0.0149986,0.0825987,0.000516257,0.000959957,0.00212578,0.00283003,7.06861,-15.6345,-0.00315229,0.000992583,-0.00329875,-0.000129909,0.000921514,0.000918289,0.00210884,0.00306962
