"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,155.006,-19.8161,165.837,0,0,0,0.00115424,0.00176218,0.00414458,0.0109072,154.411,-18.8896,85.8346,0,0,0,0.000899587,0.00142558,0.00343756,0.00805737,154.796,-18.553,6.03495,0,0,0,0.000945038,0.00167633,0.00389879,0.00827853,153.56,-21.0926,-71.9133,0,0,0,0.000823822,0.00160108,0.00357902,0.00677006,5.06513,-15.1051,-0.00125831,0,0,0,0.00195106,0.00141616,0.00324358,0.00696592
1,155.006,-19.8161,165.837,-0.0874875,-0.024479,0.0669841,0.000511914,0.000745921,0.00175472,0.00324227,154.411,-18.8896,85.8346,-0.0492869,-0.00987741,0.0627722,0.000414753,0.000628984,0.00151746,0.00249357,154.796,-18.553,6.03495,0.00460866,0.00473143,0.0746425,0.000336227,0.000561391,0.00131895,0.00196189,153.56,-21.0926,-71.9133,0.0366645,0.0148609,0.0679257,0.000495143,0.000914924,0.00207392,0.00275535,5.06513,-15.1051,-0.00125831,0.000327394,0.00155392,0.00148659,0.000884899,0.000894628,0.00209153,0.00306352
2,155.006,-19.8161,165.837,-0.0896893,0.0219796,0.0596075,0.000509534,0.000744502,0.00175176,0.00322941,154.411,-18.8896,85.8346,-0.0558167,0.0157672,0.0480424,0.000401432,0.000612562,0.00147747,0.00242003,154.796,-18.553,6.03495,0.0122425,0.00772155,0.0767512,0.000311855,0.000521285,0.00122473,0.00181418,153.56,-21.0926,-71.9133,0.0361941,-0.00556342,0.0691881,0.000491238,0.000909353,0.00206127,0.00273301,5.06513,-15.1051,-0.00125831,0.00100835,0.000209534,-0.000391905,0.000898449,0.000901193,0.00210609,0.00308322
3,155.006,-19.8161,165.837,-0.198347,-0.0114094,0.141132,0.000529736,0.000772996,0.00181731,0.00336187,154.411,-18.8896,85.8346,-0.117801,0.0111015,0.121638,0.000417746,0.000634469,0.00153054,0.00251466,154.796,-18.553,6.03495,0.0149114,0.0238618,0.162862,0.00032967,0.000550865,0.00129425,0.00191674,153.56,-21.0926,-71.9133,0.0814316,0.0305565,0.145775,0.000496834,0.000918349,0.00208284,0.00276495,5.06513,-15.1051,-0.00125831,0.000451536,-0.0019267,-0.00484942,0.000923359,0.000910593,0.00212747,0.00311817
4,155.006,-19.8161,165.837,-0.127803,-0.0287192,0.0880045,0.000506986,0.000740828,0.00174098,0.00322047,154.411,-18.8896,85.8346,-0.0862876,-0.00602827,0.0462292,0.000395329,0.00059871,0.00144455,0.00237192,154.796,-18.553,6.03495,0.0216056,0.00760732,0.105098,0.000325692,0.000543529,0.0012765,0.00188855,153.56,-21.0926,-71.9133,0.0457256,0.0128588,0.0805934,0.00048993,0.000913433,0.00206868,0.00274315,5.06513,-15.1051,-0.00125831,0.000807772,0.000501245,-0.000840405,0.000920827,0.00091539,0.00213723,0.00313421
5,155.006,-19.8161,165.837,-0.0263695,-0.0298283,0.00169319,0.000498928,0.000728459,0.00171193,0.00317087,154.411,-18.8896,85.8346,-0.0390119,-0.00889079,-0.055066,0.000391855,0.000597727,0.00144163,0.0023617,154.796,-18.553,6.03495,0.0272065,-0.00203464,0.00666881,0.0003159,0.00052944,0.00124291,0.00184099,153.56,-21.0926,-71.9133,-0.00497076,-0.00300474,-0.0215543,0.000496656,0.000927419,0.00210098,0.0027702,5.06513,-15.1051,-0.00125831,-0.000140769,0.000203907,0.00158027,0.000902981,0.000931051,0.00217747,0.00318414
6,155.006,-19.8161,165.837,-0.0941756,0.0386668,0.0707592,0.000522548,0.000761141,0.00179054,0.00331089,154.411,-18.8896,85.8346,-0.0770101,0.0308899,0.00137238,0.000395417,0.000601897,0.00145132,0.00238005,154.796,-18.553,6.03495,0.0271044,0.0114038,0.0710353,0.000305572,0.000511418,0.0012005,0.0017716,153.56,-21.0926,-71.9133,0.0201077,-0.0209172,0.0327734,0.000496681,0.000918897,0.0020835,0.00276613,5.06513,-15.1051,-0.00125831,0.000873917,-0.000589899,-0.000459747,0.000935645,0.000945296,0.00220992,0.00323436
7,155.006,-19.8161,165.837,-0.0622092,-0.0382858,0.0462446,0.000520265,0.000759439,0.00178626,0.00329795,154.411,-18.8896,85.8346,-0.062493,-0.0110676,-0.031393,0.000378974,0.000577204,0.00139202,0.00228351,154.796,-18.553,6.03495,0.0282027,0.00105206,0.0369492,0.0003116,0.000521565,0.00122527,0.00180654,153.56,-21.0926,-71.9133,-0.000290862,0.0012282,-0.00899057,0.000501288,0.000930831,0.00210842,0.00279498,5.06513,-15.1051,-0.00125831,-0.000512104,-0.00317069,-0.00381233,0.000928336,0.000934978,0.00218584,0.00320015
8,155.006,-19.8161,165.837,-0.191633,-0.000171355,0.168012,0.000523166,0.000760674,0.0017906,0.0033139,154.411,-18.8896,85.8346,-0.13049,0.0186436,0.0889871,0.00038204,0.000582152,0.00140405,0.00230073,154.796,-18.553,6.03495,0.025181,0.0247781,0.157218,0.000311587,0.000522034,0.00122717,0.00181265,153.56,-21.0926,-71.9133,0.0532167,0.00882507,0.0993657,0.00051396,0.000954244,0.00216312,0.00286639,5.06513,-15.1051,-0.00125831,0.000666143,-0.00284649,-0.00548937,0.000905262,0.000927129,0.00216706,0.00316948
9,155.006,-19.8161,165.837,-0.183112,-0.0481833,0.158766,0.000506224,0.000734443,0.00172755,0.00320332,154.411,-18.8896,85.8346,-0.125734,-0.00768851,0.0865462,0.000387708,0.000591076,0.00142594,0.00233488,154.796,-18.553,6.03495,0.0259337,0.0228502,0.147585,0.000317255,0.000528758,0.00124238,0.00183948,153.56,-21.0926,-71.9133,0.0444329,0.0310648,0.0912114,0.00050643,0.000937287,0.00212596,0.00281474,5.06513,-15.1051,-0.00125831,0.000609203,0.000437684,-0.00108381,0.000909731,0.00092826,0.00216929,0.00317835
