"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,158.862,-30.2095,207.209,0,0,0,0.000950005,0.00153525,0.0036523,0.0103041,154.748,-29.098,146.588,0,0,0,0.000816879,0.00129082,0.00316942,0.00791537,154.12,-25.9317,88.9173,0,0,0,0.000919707,0.00148492,0.00371923,0.00808524,153.826,-29.4699,32.1244,0,0,0,0.00100936,0.00175992,0.00430787,0.00853401,4.55931,-16.8579,0.00151202,0,0,0,0.00264351,0.00199029,0.00459776,0.00916616
1,158.862,-30.2095,207.209,0.126771,-0.111627,-0.0791366,0.000509358,0.00073674,0.00171784,0.00343805,154.748,-29.098,146.588,0.0814387,-0.081885,-0.0838859,0.000428933,0.000631667,0.0015392,0.0027063,154.12,-25.9317,88.9173,0.0525067,-0.0553154,-0.0796902,0.00031666,0.00047664,0.00119847,0.0018218,153.826,-29.4699,32.1244,0.022889,-0.0243976,-0.0973291,0.000338438,0.000538823,0.00132109,0.00184691,4.55931,-16.8579,0.00151202,0.000759173,0.00664473,0.00774108,0.000946783,0.000993842,0.00235066,0.00318852
2,158.862,-30.2095,207.209,0.0249742,0.0190565,0.00702677,0.000506006,0.000739375,0.00172566,0.00343712,154.748,-29.098,146.588,0.00151428,0.0134944,-0.00151513,0.000439738,0.000645144,0.00157135,0.00276849,154.12,-25.9317,88.9173,0.00631901,0.00547445,0.00391365,0.00030946,0.000465859,0.00117031,0.00178371,153.826,-29.4699,32.1244,0.0100332,0.0045277,-0.0345739,0.000347303,0.000552356,0.00135536,0.00189052,4.55931,-16.8579,0.00151202,-0.000872413,-0.000494971,-0.00172726,0.000958766,0.00100422,0.00237491,0.0032148
3,158.862,-30.2095,207.209,0.176325,0.024476,-0.077279,0.000503033,0.000729678,0.00170258,0.0034041,154.748,-29.098,146.588,0.101202,0.0125438,-0.0962761,0.00043238,0.000631622,0.00153995,0.00271581,154.12,-25.9317,88.9173,0.0690504,0.00490838,-0.0775579,0.000321387,0.000482354,0.00121091,0.00184866,153.826,-29.4699,32.1244,0.0371165,0.00777478,-0.137479,0.000357556,0.000575202,0.00141157,0.00196587,4.55931,-16.8579,0.00151202,0.000986158,0.00587361,0.0127264,0.000948682,0.00100035,0.00236564,0.00320364
4,158.862,-30.2095,207.209,0.13582,-0.0681953,-0.0528305,0.000487522,0.000706771,0.00164909,0.00329698,154.748,-29.098,146.588,0.0657815,-0.056877,-0.0769956,0.000418679,0.000615934,0.00150125,0.00264257,154.12,-25.9317,88.9173,0.0473805,-0.0489857,-0.0533914,0.000329396,0.000492888,0.00123777,0.00188864,153.826,-29.4699,32.1244,0.0285479,-0.0202029,-0.13258,0.000347622,0.000556643,0.00136696,0.0019012,4.55931,-16.8579,0.00151202,-0.00117574,0.00133115,0.00127832,0.000953241,0.00099793,0.00235992,0.00319557
5,158.862,-30.2095,207.209,0.222051,0.0417336,-0.0802666,0.000487814,0.000711942,0.00166119,0.00331818,154.748,-29.098,146.588,0.122009,0.0230444,-0.111692,0.000427676,0.000632791,0.00154142,0.00270763,154.12,-25.9317,88.9173,0.0824694,0.00332525,-0.0782059,0.00031706,0.000473753,0.0011902,0.00181641,153.826,-29.4699,32.1244,0.0442647,0.0123373,-0.174002,0.00032832,0.000527947,0.00129633,0.00180331,4.55931,-16.8579,0.00151202,0.000804356,0.00656391,0.0157366,0.000975917,0.00101133,0.00238994,0.00324142
6,158.862,-30.2095,207.209,-0.0166066,-0.0338188,0.0942701,0.000484372,0.000713902,0.0016666,0.00331933,154.748,-29.098,146.588,-0.0506118,-0.0334343,0.0481809,0.000427631,0.000629189,0.00153265,0.00270027,154.12,-25.9317,88.9173,-0.0237216,-0.033786,0.0972195,0.000327098,0.000487772,0.00122533,0.00187206,153.826,-29.4699,32.1244,0.00443996,0.00127806,-0.0177917,0.000318004,0.000511924,0.00125808,0.00174397,4.55931,-16.8579,0.00151202,0.000140632,0.00284713,-0.000205912,0.000955557,0.00101053,0.00238978,0.00323477
7,158.862,-30.2095,207.209,0.269026,0.00536417,-0.0886528,0.000499161,0.000727637,0.00169784,0.00338637,154.748,-29.098,146.588,0.148829,-0.00923003,-0.133537,0.000425331,0.000622582,0.00151772,0.00267734,154.12,-25.9317,88.9173,0.0953326,-0.0250972,-0.0746991,0.000331164,0.000496919,0.0012482,0.0019044,153.826,-29.4699,32.1244,0.0453135,0.00470441,-0.199047,0.000310506,0.000501232,0.00123189,0.0017043,4.55931,-16.8579,0.00151202,0.000940545,0.00705611,0.0145353,0.000969199,0.00103203,0.00244192,0.00330561
8,158.862,-30.2095,207.209,0.163332,0.0354192,0.000648431,0.000504714,0.000736682,0.00171797,0.00342728,154.748,-29.098,146.588,0.0709174,0.0117684,-0.0484696,0.00042856,0.000630877,0.00153657,0.00270905,154.12,-25.9317,88.9173,0.0459352,-0.0149081,0.0142946,0.000313229,0.000469167,0.00117821,0.00180063,153.826,-29.4699,32.1244,0.0234621,0.0143621,-0.120362,0.000307471,0.000495796,0.0012173,0.00169256,4.55931,-16.8579,0.00151202,0.000422033,0.0044471,0.00876407,0.000959793,0.00100824,0.00238466,0.00323355
9,158.862,-30.2095,207.209,0.246821,-0.00224486,-0.0497945,0.000506689,0.000739632,0.00172325,0.00345245,154.748,-29.098,146.588,0.127566,-0.0191743,-0.0993169,0.000426454,0.000628004,0.00152974,0.00269398,154.12,-25.9317,88.9173,0.0775334,-0.0415256,-0.0272428,0.000331683,0.000497747,0.00125044,0.00190764,153.826,-29.4699,32.1244,0.0293903,0.00279569,-0.165446,0.0003237,0.000519872,0.00127479,0.00177814,4.55931,-16.8579,0.00151202,-0.000324352,0.0038363,0.00808297,0.000937818,0.000992476,0.00234686,0.00317954
