"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,156.148,-41.8618,202.735,0,0,0,0.00102341,0.00156586,0.00380616,0.0105866,154.847,-42.2178,141.57,0,0,0,0.000792984,0.00125855,0.00308356,0.0076829,153.606,-39.1175,83.7712,0,0,0,0.000957143,0.00152682,0.00384878,0.00821162,151.666,-40.5709,24.6659,0,0,0,0.00107377,0.00180721,0.00447425,0.00871222,4.34404,-12.4706,0.00698889,0,0,0,0.00262152,0.00196806,0.00452085,0.00921193
1,156.148,-41.8618,202.735,-0.298903,-0.0399981,0.198528,0.000515351,0.000739766,0.00175533,0.00345987,154.847,-42.2178,141.57,-0.206864,-0.0170759,0.202245,0.000402376,0.000602634,0.00146526,0.00257695,153.606,-39.1175,83.7712,-0.122273,-0.00207258,0.199085,0.00031382,0.000471192,0.00119141,0.00179027,151.666,-40.5709,24.6659,-0.0334705,0.0147576,0.197221,0.000299221,0.000484915,0.00119713,0.00164778,4.34404,-12.4706,0.00698889,-0.00188002,-0.00544208,-0.0140621,0.000972048,0.00101465,0.00238968,0.0033107
2,156.148,-41.8618,202.735,0.129932,-0.0239321,-0.110531,0.000497166,0.000716675,0.00170073,0.00334814,154.847,-42.2178,141.57,0.0906277,-0.0147392,-0.103592,0.000399626,0.000598622,0.00145581,0.00256058,153.606,-39.1175,83.7712,0.0506757,-0.0124682,-0.105094,0.000296001,0.000448655,0.001134,0.0016952,151.666,-40.5709,24.6659,0.0132825,-0.00879687,-0.102028,0.000315181,0.000510974,0.00126263,0.00173371,4.34404,-12.4706,0.00698889,-0.00123805,-0.00201955,-0.00206182,0.000999378,0.00102347,0.00240808,0.00333869
3,156.148,-41.8618,202.735,-0.14266,-0.0421638,0.0759645,0.000502658,0.000723957,0.00171753,0.00338538,154.847,-42.2178,141.57,-0.0989808,-0.0227735,0.0815379,0.000400858,0.000597558,0.00145349,0.00256264,153.606,-39.1175,83.7712,-0.0614905,-0.0131252,0.0776589,0.00030954,0.00046594,0.00117903,0.00176591,151.666,-40.5709,24.6659,-0.0187629,0.000180959,0.0808563,0.000331421,0.000537507,0.00132891,0.00182485,4.34404,-12.4706,0.00698889,-0.00288903,-0.00779834,-0.0150292,0.000992141,0.00102329,0.00241124,0.00334214
4,156.148,-41.8618,202.735,-0.144957,0.00468305,0.0964989,0.00048753,0.000698347,0.0016582,0.00326282,154.847,-42.2178,141.57,-0.0991657,0.00950456,0.0974613,0.00041299,0.00061582,0.00149918,0.00263216,153.606,-39.1175,83.7712,-0.0611159,0.0110632,0.093951,0.000307414,0.000462118,0.00116976,0.001751,151.666,-40.5709,24.6659,-0.0162152,0.0138809,0.0963082,0.000306471,0.000497027,0.00122831,0.0016899,4.34404,-12.4706,0.00698889,-7.79677e-05,-0.00153459,-0.00574208,0.00099236,0.00103161,0.00243119,0.00336322
5,156.148,-41.8618,202.735,0.0767127,-0.0121293,-0.0809471,0.0005035,0.000727124,0.00172657,0.0033936,154.847,-42.2178,141.57,0.0540412,-0.00473642,-0.0721374,0.00042939,0.000638087,0.00155203,0.00273634,153.606,-39.1175,83.7712,0.0272831,-0.00614886,-0.0768069,0.000322805,0.000488767,0.00123718,0.001842,151.666,-40.5709,24.6659,0.00654543,-0.00553623,-0.071554,0.00031624,0.000513332,0.00126865,0.00174421,4.34404,-12.4706,0.00698889,-0.00304044,-0.00577891,-0.00912222,0.000983383,0.00100784,0.00237214,0.0032823
6,156.148,-41.8618,202.735,0.0396859,-0.0457984,-0.0448393,0.000525174,0.000755187,0.00179369,0.00353521,154.847,-42.2178,141.57,0.0289675,-0.0304729,-0.0417681,0.000399893,0.000593512,0.00144492,0.00254402,153.606,-39.1175,83.7712,0.0127682,-0.0228943,-0.0480999,0.000314365,0.000475202,0.00120264,0.00179312,151.666,-40.5709,24.6659,0.0037276,-0.0122275,-0.044828,0.000308544,0.00050099,0.00123859,0.00170164,4.34404,-12.4706,0.00698889,-0.00170128,-0.00414444,-0.00741741,0.000931185,0.000976751,0.00230188,0.00318342
7,156.148,-41.8618,202.735,0.0106794,0.0182518,-0.0164806,0.000524858,0.000749169,0.00177879,0.00349406,154.847,-42.2178,141.57,0.0115844,0.0198899,-0.0163598,0.000408114,0.000605574,0.00147372,0.00260042,153.606,-39.1175,83.7712,0.00398947,0.0173741,-0.020917,0.000305665,0.000459883,0.00116372,0.00174363,151.666,-40.5709,24.6659,0.00536344,0.0145531,-0.0170246,0.000314536,0.000509027,0.00125881,0.00173112,4.34404,-12.4706,0.00698889,-0.00333049,-0.00825744,-0.013405,0.000950498,0.000985538,0.00232105,0.00321858
8,156.148,-41.8618,202.735,-0.0750505,-0.0615053,0.0483381,0.000511138,0.000735353,0.00174525,0.00344662,154.847,-42.2178,141.57,-0.0464052,-0.0402452,0.0414292,0.000408886,0.000607712,0.00147803,0.00260293,153.606,-39.1175,83.7712,-0.0306445,-0.0203523,0.0376569,0.000303142,0.000457816,0.00115835,0.00173303,151.666,-40.5709,24.6659,-0.00416647,-0.000625146,0.0405326,0.000329752,0.000533879,0.00132015,0.00181666,4.34404,-12.4706,0.00698889,-0.00106677,-0.000741079,-0.00343747,0.000995785,0.00102086,0.00240522,0.00333098
9,156.148,-41.8618,202.735,0.0732965,-0.11771,-0.0756264,0.000510232,0.000728584,0.00172919,0.00340972,154.847,-42.2178,141.57,0.05682,-0.0787823,-0.0746894,0.000414929,0.000618104,0.00150231,0.00264956,153.606,-39.1175,83.7712,0.0302891,-0.0518706,-0.081479,0.000316123,0.000474114,0.00119827,0.00180089,151.666,-40.5709,24.6659,0.0122995,-0.0258698,-0.0805162,0.000313432,0.000506586,0.00125152,0.00172747,4.34404,-12.4706,0.00698889,-0.00310946,-0.00601329,-0.0113912,0.00100132,0.00103212,0.00243427,0.00336557
