"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;9.53673e-009;-4.31301e-007;0.00351377
1.47332e-007;0.0999756;4.03383e-005;0.00371375
1.47936e-007;0.209961;4.05044e-005;0.00355958
1.47936e-007;0.309998;4.05044e-005;0.00352078
2.97274e-007;0.419983;8.14398e-005;0.0037755
3.25123e-006;0.529968;0.000859089;0.00382166
9.28581e-006;0.630005;0.00241453;0.00393765
1.72303e-005;0.73999;0.00462419;0.00325303
2.62968e-005;0.849976;0.00724442;0.0036674
3.74056e-005;0.949951;0.0102733;0.00366785
3.86038e-005;0.959961;0.0106013;0.00363662
5.08396e-005;1.06;0.0140804;0.00339748
6.67499e-005;1.16998;0.0187057;0.00348218
7.30472e-005;1.20996;0.0205081;0.00350531
8.47238e-005;1.27997;0.0238651;0.00345143
0.000102665;1.38;0.0289386;0.00362112
0.000108788;1.40997;0.0306171;0.003675
0.000125463;1.48999;0.0352023;0.00359825
0.000145877;1.57996;0.0408519;0.00362853
0.000150059;1.59998;0.0420383;0.00342063
0.000175827;1.70996;0.0495723;0.00341979
0.000180492;1.72998;0.0509227;0.00348894
0.000201142;1.81;0.0566943;0.00366692
0.00021815;1.87;0.0613177;0.0036904
0.000231653;1.91998;0.0650867;0.00347511
0.000255486;2;0.0719608;0.00345908
0.000264418;2.02997;0.0745433;0.00345813
0.000292285;2.12;0.0826457;0.00342057
0.00029549;2.13;0.083588;0.00338195
0.0003272;2.22998;0.0929645;0.00338171
0.000330597;2.23999;0.093941;0.00357435
0.000363019;2.32996;0.103031;0.00355898
0.000369816;2.34998;0.104958;0.00349776
0.000398038;2.42999;0.113144;0.00339715
0.000408753;2.45996;0.116211;0.00358979
0.000435647;2.52997;0.123825;0.00347446
0.000448015;2.56;0.127304;0.0036357
0.000473157;2.62;0.134308;0.003544
0.00049433;2.66998;0.140244;0.00358993
0.000512444;2.70996;0.145111;0.00385272
0.000543204;2.77997;0.153588;0.00340533
0.000552095;2.79999;0.156205;0.00339007
0.000587443;2.88;0.166321;0.00359791
0.000628274;2.96997;0.177536;0.0036835
0.000638531;2.98999;0.180275;0.00380644
0.000669384;3.04999;0.188706;0.00351283
0.000695042;3.09998;0.195916;0.00360485
0.000709438;3.13;0.200005;0.00343588
0.000746354;3.19995;0.210244;0.00377526
0.000751495;3.20996;0.211632;0.00362935
0.000782974;3.26996;0.220475;0.00349059
0.000802251;3.31;0.226166;0.00328317
0.000822383;3.34998;0.231896;0.00374427
0.000862489;3.41998;0.242867;0.00356689
0.000902102;3.48999;0.254166;0.00344488
0.000924536;3.52997;0.260636;0.00349018
0.000942332;3.56;0.265587;0.00369808
0.00098347;3.63;0.277008;0.00350567
0.00102253;3.69995;0.288224;0.00345942
0.00104599;3.73999;0.29506;0.00340506
0.00105842;3.76001;0.298744;0.00334315
0.00109491;3.82001;0.309471;0.00345902
0.00111278;3.84998;0.314835;0.00320463
0.00113002;3.88;0.320153;0.00328068
0.00116645;3.94;0.330963;0.00345918
0.00117862;3.95996;0.334442;0.00353595
0.00120392;4;0.3414;0.0037367
0.00124377;4.05999;0.352451;0.00347461
0.00128324;4.11999;0.364285;0.00319697
0.00131611;4.16997;0.374027;0.00355078
0.00132269;4.17998;0.37595;0.00328947
0.00136276;4.23998;0.387692;0.00353648
0.00138303;4.27001;0.393345;0.00363566
0.00140463;4.29998;0.399036;0.00395276
0.00144189;4.34997;0.409069;0.00347468
0.0014644;4.38;0.415447;0.00358292
0.00148005;4.39995;0.419781;0.00364396
0.00151721;4.45;0.430141;0.00352904
0.00154672;4.48998;0.438747;0.00332758
0.00155359;4.49999;0.440792;0.0033972
0.00158844;4.54998;0.451016;0.0034202
0.00162627;4.59997;0.461254;0.00396857
0.00166846;4.64995;0.472591;0.00347456
0.00170742;4.7;0.483608;0.0035983
0.00174954;4.74999;0.494869;0.00388345
0.001791;4.79998;0.505596;0.00384554
0.00179917;4.80999;0.507671;0.0040296
0.00183603;4.84997;0.516354;0.0044615
0.00188487;4.89995;0.528393;0.00365206
0.00190331;4.91997;0.533306;0.00385281
0.00193033;4.95;0.54034;0.00382921
0.001975;4.99999;0.55209;0.00377545
0.00199276;5.02001;0.556713;0.00390515
0.00201927;5.04998;0.563351;0.00408432
0.00206681;5.09997;0.5751;0.00400731
0.00209643;5.13;0.582623;0.00386831
0.00210659;5.14001;0.585217;0.00396845
0.00215611;5.18999;0.597408;0.00415428
0.00219571;5.22997;0.607555;0.00365199
0.002205;5.23998;0.610012;0.00390567
0.00224201;5.27996;0.619305;0.00406112
0.00229081;5.33001;0.63139;0.00401499
0.00231193;5.34997;0.636669;0.00398351
0.00233264;5.36999;0.641857;0.00399973
0.00237412;5.40996;0.652218;0.00400783
0.00241546;5.45;0.662624;0.00393798
0.00246444;5.49999;0.675014;0.00396837
0.00251489;5.54998;0.687542;0.00408472
0.0025261;5.55999;0.690334;0.00394549
0.00255931;5.58996;0.698895;0.00381424
0.0026013;5.63;0.709698;0.00395994
0.00264398;5.66997;0.720455;0.00397553
0.00268563;5.70995;0.73077;0.00409942
0.00272982;5.74999;0.741085;0.00446945
0.00275441;5.77001;0.746777;0.00416952
0.00277888;5.78997;0.752636;0.0041843
0.00282602;5.83001;0.763973;0.00413066
0.00287304;5.86999;0.775433;0.00407671
0.00288436;5.88;0.778225;0.00403046
0.00291726;5.90996;0.78616;0.00426125
0.00296454;5.95;0.796932;0.00451659
0.00301701;5.98998;0.808804;0.00432371
0.00306615;6.02996;0.820385;0.00416156
0.00311328;6.07;0.832134;0.00386068
0.00314592;6.09997;0.840481;0.00396081
0.0031567;6.10998;0.843105;0.00426026
0.00320455;6.14995;0.854153;0.00440111
0.00325699;6.18999;0.866558;0.00405338
0.00326983;6.2;0.869625;0.00432231
0.00330857;6.22997;0.878643;0.00426938
0.00335899;6.27001;0.890636;0.00413849
0.00340801;6.30999;0.901974;0.00450899
0.00346005;6.34997;0.913921;0.00420191
0.00351265;6.39001;0.926617;0.00408485
0.0035525;6.41997;0.936062;0.00435355
0.00356546;6.42998;0.939098;0.00418475
0.00361555;6.46996;0.951382;0.00397017
0.00366295;6.51;0.962643;0.00444844
0.00367657;6.52001;0.965664;0.00457051
0.00371932;6.54998;0.975445;0.00417017
