"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;0;-1.36424e-012;-0.00191465
0;0.0300293;-1.36424e-012;-0.00209976
0;0.140005;-1.36424e-012;-0.00172122
7.60006e-008;0.240042;-4.09357e-005;-0.00199195
7.60006e-008;0.350027;-4.09357e-005;-0.00196083
-4.16939e-007;0.460012;0.000204657;-0.00205346
-2.6522e-006;0.560049;0.00130973;-0.00199201
-6.22767e-006;0.670034;0.00315127;-0.00189111
-1.19108e-005;0.78002;0.00573096;-0.00251499
-1.80822e-005;0.890005;0.00843272;-0.00205341
-2.19179e-005;0.950002;0.0102733;-0.00211445
-2.47766e-005;0.990041;0.0116657;-0.0019919
-3.32121e-005;1.10003;0.0157588;-0.00212982
-4.31099e-005;1.21001;0.0204662;-0.00207546
-5.30167e-005;1.31005;0.0253376;-0.0019919
-6.35957e-005;1.41002;0.030701;-0.00195293
-6.46659e-005;1.42003;0.0312313;-0.00208358
-7.79366e-005;1.53002;0.037659;-0.00204561
-8.43668e-005;1.58001;0.0408939;-0.00192995
-9.18526e-005;1.64;0.0447811;-0.0019216
-0.00010314;1.73003;0.0511249;-0.00163693
-0.0001044;1.74004;0.051865;-0.00176758
-0.000120337;1.85003;0.0600093;-0.00214599
-0.000123319;1.87005;0.0615238;-0.00179266
-0.000136134;1.96001;0.0684818;-0.00189089
-0.000142396;1.99999;0.0718006;-0.0018829
-0.000151741;2.06005;0.0771221;-0.00162898
-0.000161143;2.12005;0.0826458;-0.00177537
-0.000169132;2.17003;0.0873493;-0.00162171
-0.00017857;2.23003;0.0931285;-0.00164456
-0.000186636;2.28002;0.09808;-0.00161336
-0.000195406;2.34002;0.103936;-0.00138197
-0.000203433;2.39;0.109173;-0.00168333
-0.000212608;2.43999;0.114373;-0.0018457
-0.000223044;2.49004;0.119614;-0.00213657
-0.000232839;2.54003;0.12497;-0.00152121
-0.000245044;2.60003;0.131935;-0.00198315
-0.000251341;2.63;0.135292;-0.00176858
-0.000268375;2.71001;0.144989;-0.00174472
-0.000270489;2.72002;0.146302;-0.00147578
-0.000287066;2.81005;0.157395;-0.00151298
-0.000302302;2.89;0.167672;-0.00145218
-0.000307531;2.92003;0.171433;-0.0013282
-0.000316948;2.97002;0.177819;-0.00162122
-0.000330075;3.03002;0.185601;-0.00175235
-0.000335077;3.05004;0.188462;-0.00174424
-0.000351601;3.12005;0.198532;-0.00153741
-0.000356416;3.14;0.201317;-0.00192079
-0.000372438;3.2;0.209915;-0.00180587
-0.000383008;3.24004;0.215935;-0.00170621
-0.000390337;3.27001;0.220269;-0.00167593
-0.000408471;3.34002;0.230507;-0.00186643
-0.000410971;3.35003;0.23198;-0.00152883
-0.000424728;3.41002;0.240822;-0.00158277
-0.000437264;3.46001;0.248764;-0.00157413
-0.00044263;3.48003;0.252198;-0.00155165
-0.000459457;3.55004;0.263581;-0.00140478
-0.000461866;3.56005;0.265259;-0.00146629
-0.000478171;3.62005;0.275246;-0.00179901
-0.000492634;3.67003;0.283554;-0.00168248
-0.000497657;3.68999;0.286751;-0.00145992
-0.000515573;3.76;0.29821;-0.00166698
-0.000521415;3.78002;0.301857;-0.00153693
-0.000532311;3.82;0.309304;-0.00138958
-0.000548486;3.88;0.320076;-0.00161346
-0.000551419;3.89;0.321877;-0.00164421
-0.000565086;3.93999;0.331002;-0.00135126
-0.000578058;3.99004;0.340134;-0.00148978
-0.00058051;3.99999;0.341889;-0.00130477
-0.000592832;4.06005;0.352494;-0.00101914
-0.000603774;4.10003;0.36026;-0.00179841
-0.000610404;4.12005;0.364121;-0.00163653
-0.000629757;4.18004;0.375946;-0.00163653
-0.000639771;4.21001;0.381928;-0.00171187
-0.000646082;4.23003;0.386017;-0.00137474
-0.00066274;4.29003;0.397644;-0.00149061
-0.000668764;4.31005;0.401413;-0.00170591
-0.000680186;4.35003;0.40918;-0.00123527
-0.000695418;4.40001;0.419785;-0.00163744
-0.000703053;4.42003;0.424012;-0.00197552
-0.000715091;4.45;0.430313;-0.00184463
-0.000733508;4.49999;0.440827;-0.00165902
-0.000744505;4.53002;0.447174;-0.00180589
-0.000751166;4.55004;0.451264;-0.0014516
-0.000763703;4.60003;0.461502;-0.000997529
-0.000773208;4.64001;0.470139;-0.00120352
-0.000776091;4.65001;0.472306;-0.0014572
-0.000793378;4.7;0.483567;-0.00161313
-0.000807347;4.74004;0.492524;-0.00150608
-0.000810666;4.74999;0.494828;-0.00137447
-0.000825155;4.80004;0.505997;-0.00121997
-0.000838641;4.85003;0.516648;-0.00131248
-0.000853849;4.90001;0.527939;-0.00138114
-0.000871848;4.95;0.540055;-0.00159024
-0.0008754;4.96001;0.542389;-0.00145195
-0.000889923;4.99999;0.551728;-0.00165842
-0.000907316;5.05004;0.563431;-0.00131391
-0.000910477;5.06005;0.565598;-0.00160383
-0.000922909;5.10002;0.57465;-0.00114283
-0.000939512;5.15;0.58701;-0.00154385
-0.000948059;5.17002;0.592091;-0.0018203
-0.000956193;5.19004;0.597157;-0.00139085
-0.000975606;5.24003;0.609608;-0.0017275
-0.000990466;5.28001;0.619435;-0.00129691
-0.000993506;5.29002;0.6218;-0.00127367
-0.00100831;5.34001;0.633717;-0.0012112
-0.00102286;5.38005;0.644398;-0.00151256
-0.00103637;5.42002;0.654881;-0.00106529
-0.00104908;5.46;0.66541;-0.0013493
-0.00105954;5.49003;0.673222;-0.00132803
-0.00106281;5.50004;0.675755;-0.00125078
-0.00107566;5.55003;0.688038;-0.000841354
-0.00108607;5.59001;0.698842;-0.00108746
-0.00108941;5.60002;0.701665;-0.00127343
-0.00109917;5.63005;0.709904;-0.00109724
-0.00111101;5.67002;0.720662;-0.00110367
-0.00112337;5.71;0.731267;-0.00122741
-0.00113387;5.75004;0.741414;-0.000841771
-0.00114493;5.79002;0.752354;-0.00117937
-0.0011523;5.81004;0.758366;-0.00127319
-0.0011596;5.83;0.764134;-0.00125984
-0.00117325;5.87004;0.775349;-0.00117372
-0.00118795;5.91001;0.786488;-0.0014665
