"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;0;0;-0.00319667
1.27231e-007;0.0999756;-4.09357e-005;-0.00301944
1.27231e-007;0.209961;-4.09357e-005;-0.00295745
4.59083e-009;0.309998;-3.65048e-010;-0.00303442
-1.41876e-006;0.419983;0.000450156;-0.00328941
-6.39449e-006;0.529958;0.00196454;-0.00328188
-1.23409e-005;0.629995;0.00372502;-0.00347357
-2.06501e-005;0.73998;0.00622222;-0.00318122
-3.09431e-005;0.849966;0.00941512;-0.00326621
-3.29735e-005;0.869985;0.0100274;-0.00336635
-4.31103e-005;0.959951;0.0130982;-0.00323563
-5.52821e-005;1.05999;0.0169472;-0.003089
-6.49153e-005;1.13;0.0200581;-0.00310421
-7.03527e-005;1.16997;0.0218186;-0.00307297
-8.7347e-005;1.27996;0.0274262;-0.00298818
-9.56205e-005;1.32995;0.0300851;-0.00323525
-0.000104646;1.38;0.0329499;-0.00306549
-0.000125467;1.48998;0.0395837;-0.00321188
-0.000127463;1.49999;0.0401978;-0.00328913
-0.000148923;1.59997;0.0469117;-0.00310334
-0.000159145;1.64995;0.0503068;-0.00291833
-0.000172567;1.70995;0.0546479;-0.0032657
-0.000192065;1.78997;0.0607476;-0.00312742
-0.000197215;1.80999;0.062304;-0.00348982
-0.000226627;1.91997;0.0710625;-0.00322636
-0.000259158;2.02996;0.0808854;-0.00339723
-0.000261989;2.03997;0.0817055;-0.00350547
-0.000290232;2.13;0.0902619;-0.00309629
-0.000296029;2.14995;0.0921044;-0.00319618
-0.000323612;2.23998;0.101069;-0.00295764
-0.000329665;2.26;0.103034;-0.00320417
-0.000360431;2.34997;0.112322;-0.00342018
-0.000364109;2.35998;0.11339;-0.00346667
-0.000399883;2.45995;0.123911;-0.00333387
-0.000432978;2.54998;0.134181;-0.00311166
-0.000436489;2.55999;0.135287;-0.00323469
-0.000467437;2.63994;0.145075;-0.00308866
-0.000478989;2.66997;0.14876;-0.0031814
-0.00050182;2.72997;0.156207;-0.00295073
-0.000521546;2.77996;0.162592;-0.0032273
-0.000533753;2.80999;0.166361;-0.00325066
-0.000563137;2.88;0.175326;-0.00330475
-0.000567096;2.88994;0.176554;-0.00314263
-0.000599976;2.96996;0.187029;-0.003135
-0.000608839;2.98998;0.18986;-0.00312737
-0.000632186;3.03997;0.197146;-0.00328127
-0.000659663;3.09997;0.20566;-0.00317302
-0.00066873;3.11999;0.208521;-0.00316539
-0.00070202;3.18999;0.218836;-0.00328925
-0.000711356;3.20995;0.221705;-0.00321999
-0.000735503;3.26;0.229029;-0.00337377
-0.000758728;3.30999;0.236277;-0.00303504
-0.000767768;3.32995;0.239222;-0.00310373
-0.000803701;3.39995;0.250437;-0.00330424
-0.000814486;3.41997;0.25384;-0.00303483
-0.000840333;3.46996;0.262064;-0.0032506
-0.00087248;3.52996;0.271929;-0.00326681
-0.000877719;3.53997;0.273531;-0.00327385
-0.000916224;3.60998;0.285197;-0.00332773
-0.000926686;3.63;0.288348;-0.00331247
-0.000952603;3.67998;0.296534;-0.00301942
-0.000987742;3.73998;0.307383;-0.00345842
-0.00102459;3.79998;0.31811;-0.00341169
-0.00105571;3.84997;0.32728;-0.00337438
-0.0010621;3.85998;0.329119;-0.00358228
-0.00109991;3.91997;0.340174;-0.00325851
-0.00112272;3.95995;0.347216;-0.00321977
-0.00113412;3.97997;0.350733;-0.00325887
-0.00116983;4.03997;0.362154;-0.00299566
-0.00118237;4.05999;0.36629;-0.0030654
-0.00120659;4.09997;0.374026;-0.00319722
-0.0012456;4.15996;0.385928;-0.00335839
-0.00125215;4.16997;0.387896;-0.00329735
-0.00128295;4.21996;0.39773;-0.00296643
-0.0013164;4.27996;0.409098;-0.00291871
-0.0013477;4.32995;0.419749;-0.00295805
-0.00137816;4.38;0.430354;-0.00278734
-0.00140731;4.42998;0.440913;-0.00273394
-0.00143887;4.47997;0.451395;-0.00328767
-0.00144506;4.48998;0.453349;-0.00304352
-0.00146872;4.52996;0.461497;-0.00276469
-0.00149938;4.57995;0.472437;-0.00284087
-0.00151257;4.59997;0.476939;-0.00301921
-0.00153236;4.63;0.483561;-0.00295769
-0.00156536;4.67998;0.494776;-0.00292622
-0.00158556;4.70995;0.501582;-0.00301181
-0.00159913;4.72997;0.505991;-0.00314247
-0.00163178;4.77996;0.516642;-0.00298845
-0.00165093;4.80999;0.52328;-0.00278031
-0.00166461;4.82995;0.528101;-0.0028957
-0.00169995;4.88;0.540018;-0.00303411
-0.00172828;4.91997;0.549479;-0.0029571
-0.00173532;4.92998;0.551844;-0.00299572
-0.0017693;4.97997;0.563517;-0.00282603
-0.00179966;5.02996;0.574641;-0.00263255
-0.00183191;5.07995;0.587016;-0.00257914
-0.0018584;5.11999;0.597163;-0.00264137
-0.00186488;5.13;0.599543;-0.00281017
-0.00188743;5.15996;0.607188;-0.00308817
-0.00192475;5.20995;0.619395;-0.00302713
-0.00194586;5.23998;0.626521;-0.00289648
-0.00195861;5.26;0.631266;-0.00247877
-0.00198565;5.29998;0.641703;-0.00270193
-0.00201596;5.33996;0.652216;-0.00306483
-0.00202391;5.34997;0.654887;-0.0028884
-0.00204614;5.38;0.662699;-0.00280257
-0.00207769;5.41997;0.673258;-0.00317331
-0.00210661;5.45995;0.682963;-0.00278684
-0.00211326;5.46996;0.685374;-0.0027258
-0.00214242;5.51;0.696024;-0.00274964
-0.00217367;5.54997;0.707282;-0.00280307
-0.00218106;5.55998;0.709907;-0.00282596
-0.00220278;5.58995;0.717887;-0.00261758
-0.00223386;5.62999;0.728736;-0.00311182
-0.00226313;5.66996;0.738883;-0.00265787
-0.00229098;5.70994;0.749488;-0.0025942
-0.00232367;5.74998;0.761268;-0.0029566
-0.00234039;5.77;0.766959;-0.00291875
-0.0023567;5.78996;0.772575;-0.00288823
-0.00238904;5.83;0.78379;-0.00288
-0.00241852;5.86998;0.794395;-0.00267988
-0.00242569;5.87999;0.79705;-0.00271779
-0.00244831;5.90995;0.805442;-0.00267273
-0.0024818;5.94999;0.81739;-0.00293403
-0.00251498;5.98997;0.829017;-0.002772
-0.00254829;6.02995;0.840614;-0.00297275
-0.0025798;6.06999;0.851539;-0.00279555
-0.00260131;6.09996;0.859931;-0.00233206
-0.00260865;6.10997;0.862922;-0.00257811
-0.00264428;6.14994;0.875602;-0.00304159
-0.00267893;6.18998;0.887473;-0.00279507
-0.00268721;6.19999;0.89051;-0.00265679
-0.00271197;6.22996;0.899345;-0.00294956
-0.00274388;6.27;0.910484;-0.00277886
-0.00277882;6.30998;0.922767;-0.00291082
-0.00281581;6.34996;0.935661;-0.00282699
-0.00285241;6.39;0.948264;-0.00298047
-0.00287902;6.41996;0.957114;-0.00303388
-0.00288749;6.42997;0.960014;-0.00281072
-0.00291799;6.46995;0.971763;-0.00237966
-0.00295382;6.50999;0.985114;-0.0029881
-0.00296332;6.52;0.988349;-0.00288796
-0.00299114;6.54997;0.998008;-0.00287223
-0.00302943;6.58995;1.01086;-0.00308871
-0.0030623;6.62999;1.02273;-0.00244784
-0.00309708;6.66996;1.03579;-0.00287819
-0.00312584;6.69999;1.04598;-0.0027647
-0.0031647;6.73997;1.05924;-0.0030961
-0.00320234;6.77995;1.07169;-0.00295114
-0.00323575;6.81999;1.08405;-0.00245523
-0.00326428;6.84996;1.09478;-0.00286412
-0.00329327;6.87999;1.10493;-0.00284839
-0.00332355;6.90995;1.11549;-0.00288782
-0.0033586;6.94999;1.1283;-0.00258073
-0.00339018;6.98997;1.14112;-0.00234804
-0.00341817;7.02;1.15192;-0.00283369
-0.00344761;7.04997;1.16248;-0.00274119
-0.0034571;7.05998;1.16593;-0.00276419
-0.00347576;7.08;1.1728;-0.00267205
-0.00351079;7.11998;1.18581;-0.00271067
-0.00354347;7.15995;1.19912;-0.00220093
-0.00355207;7.16996;1.20269;-0.00261673
-0.00357162;7.18998;1.21006;-0.00268713
-0.00360052;7.21995;1.22065;-0.00277212
-0.00363027;7.24998;1.23118;-0.00287962
-0.00364972;7.27;1.23801;-0.00281078
-0.00365865;7.27995;1.24125;-0.00271064
-0.00369297;7.31999;1.25468;-0.00240117
-0.0037238;7.34996;1.26618;-0.00295717
