"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;0;-1.36424e-012;0.00206892
-7.80567e-008;0.100037;-4.09354e-005;0.00174473
-7.80573e-008;0.210022;-4.09357e-005;0.00179873
-6.16694e-009;0.320007;-1.36424e-012;0.00171362
2.88801e-007;0.420044;0.000163649;0.00189127
2.28483e-006;0.530029;0.00126896;0.00172044
5.44652e-006;0.640015;0.0031105;0.0017133
8.92162e-006;0.740051;0.00528011;0.00149014
1.31292e-005;0.850037;0.00818691;0.00140482
1.59973e-005;0.910034;0.0100695;0.00164228
1.87364e-005;0.960022;0.0116659;0.00178915
2.55254e-005;1.07001;0.0157591;0.00152808
3.17678e-005;1.17004;0.0200163;0.00140458
3.24295e-005;1.18005;0.0204664;0.00153523
3.99345e-005;1.28003;0.0253798;0.00151974
4.75909e-005;1.38;0.0306993;0.00135881
4.84584e-005;1.39001;0.0312716;0.00167352
5.80574e-005;1.49005;0.0371691;0.00158173
6.43346e-005;1.55005;0.0408503;0.00182873
7.03439e-005;1.60004;0.0442072;0.00175148
8.20843e-005;1.70001;0.051169;0.0016213
8.32473e-005;1.71002;0.0518633;0.00172907
9.79474e-005;1.82001;0.0600916;0.00184399
0.000100381;1.84003;0.061484;0.00165134
0.00010965;1.92004;0.0677858;0.00129033
0.000115957;1.97003;0.0718409;0.00182057
0.000125586;2.03003;0.0771624;0.00179816
0.000136122;2.09003;0.0826899;0.0020142
0.000143695;2.13006;0.0864562;0.00200706
0.000157439;2.2;0.0930862;0.00213902
0.000165336;2.24004;0.0970573;0.00183838
0.000178704;2.31005;0.104053;0.00198298
0.000187304;2.35003;0.108189;0.00217657
0.00020055;2.41002;0.114452;0.00205283
0.000210506;2.46001;0.11961;0.00180822
0.000220278;2.51;0.124973;0.0018354
0.000231312;2.56005;0.130787;0.00196074
0.000240632;2.60003;0.135326;0.00214552
0.000256691;2.67003;0.143887;0.00160645
0.000260657;2.69005;0.146297;0.0016837
0.0002805;2.78002;0.15752;0.0018525
0.000299312;2.86004;0.167629;0.00186919
0.00030429;2.88006;0.170208;0.0019915
0.000318951;2.94005;0.177776;0.00188302
0.000330806;2.99004;0.184368;0.00171386
0.00033835;3.02001;0.188381;0.00204562
0.000358339;3.09002;0.198574;0.00187658
0.000360857;3.10003;0.199924;0.00185274
0.000379049;3.17003;0.209995;0.00176
0.000388945;3.21001;0.215771;0.00166713
0.000397282;3.24004;0.22031;0.00200569
0.000417501;3.31005;0.230625;0.00191461
0.000437885;3.38006;0.240742;0.00211524
0.000450356;3.42003;0.247127;0.00179087
0.000459869;3.45;0.252117;0.0020219
0.000482616;3.52001;0.263584;0.0019456
0.000485847;3.53002;0.265179;0.00210678
0.000507854;3.59002;0.275165;0.00230037
0.000522135;3.63006;0.281879;0.00195371
0.000528605;3.65001;0.285198;0.00194525
0.000551796;3.72002;0.296535;0.00214588
0.000559502;3.74004;0.300014;0.00228416
0.000575651;3.78002;0.307423;0.00207584
0.000595718;3.84002;0.318233;0.00163644
0.000598911;3.85003;0.320072;0.00183671
0.00061576;3.90001;0.329075;0.00190644
0.000636831;3.96001;0.34013;0.00190549
0.000658955;4.02001;0.350689;0.00228501
0.000675828;4.06005;0.358265;0.00216944
0.000684235;4.08001;0.362232;0.00206882
0.000708898;4.14001;0.374065;0.00209962
0.000721787;4.17003;0.379955;0.00227701
0.000735682;4.2;0.385937;0.00236904
0.000761297;4.26;0.397648;0.00200545
0.000769096;4.28002;0.401371;0.00218379
0.000785124;4.32;0.409061;0.00198447
0.000806948;4.37005;0.419788;0.0020846
0.000811398;4.38006;0.421955;0.00202261
0.000828048;4.42003;0.430347;0.00194537
0.000849037;4.47002;0.440906;0.00203024
0.000858247;4.49004;0.445087;0.00237547
0.000872773;4.52001;0.451343;0.00226836
0.000895195;4.57;0.461414;0.00218444
0.00090973;4.60003;0.46793;0.00227719
0.000919332;4.62005;0.472309;0.00210791
0.000943957;4.67003;0.483601;0.00225382
0.000964937;4.71001;0.492527;0.00244694
0.000970353;4.72002;0.494816;0.00228577
0.000994616;4.77001;0.505878;0.00210064
0.00101299;4.81005;0.514515;0.00215345
0.00101759;4.82;0.516636;0.00218444
0.00104176;4.87005;0.528065;0.00204664
0.00106686;4.92003;0.540058;0.00213819
0.00109276;4.97002;0.551731;0.00230007
0.00111939;5.02001;0.563389;0.00226872
0.00112438;5.03002;0.565647;0.00214665
0.00114395;5.07;0.57465;0.0022003
0.0011705;5.12005;0.586933;0.00212364
0.00117649;5.13006;0.589588;0.00238495
0.00119396;5.16002;0.597034;0.0023077
0.00121717;5.2;0.607075;0.00231509
0.00123941;5.24004;0.6171;0.00212269
0.00126585;5.29003;0.628849;0.00237756
0.00128993;5.33001;0.639042;0.00234752
0.0013022;5.35003;0.644367;0.00226169
0.00131428;5.37005;0.649677;0.00228553
0.00133815;5.41002;0.66016;0.0022698
0.00136128;5.45;0.670689;0.00212269
0.00136672;5.46001;0.673267;0.0020998
0.00138979;5.50005;0.682957;0.00266247
0.00141774;5.54003;0.693241;0.00277179
0.00143256;5.56005;0.698719;0.00264018
0.00144695;5.58001;0.704456;0.00237792
0.0014726;5.62005;0.715137;0.00242399
0.00149799;5.66002;0.726063;0.00222348
0.00150406;5.67003;0.728687;0.0024085
0.00152248;5.7;0.736347;0.00239944
0.00155002;5.74004;0.746708;0.00291728
0.0015816;5.78002;0.758366;0.00250124
0.00160944;5.82;0.769703;0.00240873
0.00163517;5.86004;0.780964;0.00216227
0.00164701;5.88006;0.786488;0.00212269
0.00165835;5.90001;0.791859;0.00210028
0.00168321;5.94005;0.80254;0.00255518
0.00171222;5.98003;0.814411;0.00233131
0.00171926;5.99004;0.817432;0.00233134
0.00174059;6.02001;0.826191;0.00253972
0.00176846;6.06005;0.837742;0.00228509
0.00179291;6.10003;0.848835;0.00212332
0.00181865;6.14001;0.859928;0.00251719
0.00184775;6.18004;0.87241;0.00214621
0.00186948;6.21001;0.88158;0.00259259
0.00187674;6.22002;0.884449;0.00247052
0.00190486;6.26;0.896488;0.00220016
0.00193211;6.30004;0.907658;0.00267878
0.00193967;6.31005;0.91048;0.00267879
0.00196354;6.34002;0.919575;0.00257102
0.00199583;6.38006;0.932545;0.00240809
0.00202592;6.42003;0.945118;0.00237805
0.00205483;6.46001;0.957279;0.00237757
0.00208453;6.50005;0.968693;0.00282556
0.00211285;6.53002;0.978397;0.00301057
0.0021221;6.54003;0.981632;0.00271112
0.00215763;6.58001;0.994816;0.00267917
0.0021914;6.62005;1.00776;0.00253994
0.00219966;6.63006;1.01094;0.00264007
0.00222385;6.66002;1.01975;0.00285539
0.00225917;6.7;1.03235;0.00274871
0.00228537;6.73003;1.04271;0.00230984
0.00229327;6.74004;1.04602;0.00246243
0.00231785;6.77001;1.05588;0.00252394
0.00234902;6.81005;1.0687;0.00233941
0.00238206;6.85003;1.08086;0.00309519
0.00241197;6.88006;1.09122;0.00267877
0.00243921;6.91002;1.10157;0.00258613
0.0024654;6.94005;1.11193;0.00247074
0.00248242;6.96001;1.11869;0.00256283
0.0024903;6.97002;1.12195;0.00226337
0.0025244;7.01;1.13436;0.00323421
0.0025568;7.04003;1.14484;0.00294906
0.00257669;7.06005;1.15189;0.00269348
0.0025863;7.07;1.15544;0.00270957
0.0026137;7.10003;1.16588;0.00254077
0.00263835;7.13006;1.1762;0.00223965
0.00267061;7.17002;1.18894;0.00282411
0.00269933;7.20005;1.19916;0.00279455
0.00272712;7.23002;1.2101;0.00228529
0.00275253;7.26005;1.22057;0.00257139
0.0027717;7.28001;1.22782;0.0027173
0.00278097;7.29002;1.23134;0.00253992
0.00282048;7.33;1.24443;0.00349598
0.0028562;7.36003;1.25472;0.00345115
0.00288022;7.38005;1.26248;0.00273304
0.00289057;7.39006;1.26625;0.00276355
0.00292248;7.42002;1.27715;0.003094
0.00295479;7.45005;1.28819;0.00275545
0.00298422;7.48002;1.29831;0.00306301
0.00299415;7.49003;1.30162;0.00293426
0.00301638;7.51005;1.30867;0.00337295
0.00305239;7.54002;1.32015;0.00290231
0.0030849;7.57005;1.33147;0.0028408
0.00311494;7.60002;1.34273;0.00249366
