"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;0;0;0.00243181
0;0.0299683;0;0.00266341
0;0.139954;0;0.00267837
0;0.23999;0;0.00274071
0;0.349976;0;0.00277171
1.1309e-006;0.459961;0.000409147;0.0027564
5.09457e-006;0.559998;0.00180056;0.00294094
1.0513e-005;0.669983;0.00364306;0.0029407
1.78184e-005;0.779968;0.00622179;0.00272515
2.66781e-005;0.889954;0.00929072;0.00304868
2.95783e-005;0.919983;0.010273;0.00285634
3.58146e-005;0.98999;0.0126076;0.00248613
4.69903e-005;1.09998;0.0168648;0.00276413
5.63165e-005;1.17999;0.0203858;0.0025334
5.99296e-005;1.20996;0.0217762;0.00266358
7.28319e-005;1.31;0.0267716;0.00250217
8.24527e-005;1.37994;0.0304527;0.00272485
8.89869e-005;1.41998;0.0328713;0.0026786
0.000106209;1.52997;0.0395012;0.00251659
0.000109475;1.54999;0.0407715;0.00262531
0.000125015;1.63995;0.0467873;0.00254139
0.000136781;1.69995;0.0510025;0.00304111
0.000145242;1.73999;0.0539093;0.00278028
0.00016616;1.83997;0.0613213;0.00286409
0.000168766;1.84998;0.0622215;0.0029256
0.000191612;1.95;0.0700819;0.00288729
0.000195999;1.96996;0.0716345;0.00276439
0.000219518;2.05999;0.0797369;0.00304101
0.000227242;2.08996;0.0824378;0.00267885
0.000248472;2.16997;0.0900557;0.0028948
0.000256796;2.2;0.0928786;0.00300292
0.000279448;2.27996;0.100863;0.00267117
0.000287457;2.30999;0.103892;0.00261704
0.000306729;2.38;0.111056;0.00276319
0.000315643;2.40996;0.114207;0.0028948
0.000339235;2.48998;0.122637;0.00270216
0.000345036;2.51;0.124766;0.00274794
0.000373188;2.59997;0.135126;0.00268654
0.000404263;2.68999;0.146052;0.00300209
0.000407781;2.7;0.14728;0.00272553
0.000433875;2.77996;0.157191;0.00254028
0.000443909;2.80999;0.161082;0.00261776
0.000460744;2.85998;0.167383;0.00272505
0.000480951;2.91997;0.175081;0.00252478
0.000487192;2.93999;0.177576;0.00247841
0.000515111;3.01995;0.188135;0.00280981
0.000519363;3.02996;0.189608;0.0029643
0.000543762;3.08996;0.198244;0.00268613
0.000559425;3.13;0.203936;0.00281773
0.000575469;3.16997;0.209749;0.00270186
0.000600448;3.23998;0.219988;0.00217734
0.00062366;3.30999;0.230425;0.0022708
0.000637122;3.34997;0.235987;0.00256978
0.000648541;3.38;0.24045;0.00254713
0.0006783;3.45;0.251871;0.00266419
0.000709607;3.51995;0.263293;0.00281809
0.000728258;3.55999;0.269884;0.0028405
0.000742309;3.58996;0.27492;0.00274037
0.000772786;3.65996;0.286463;0.00254019
0.000777367;3.66997;0.288141;0.00291784
0.000807186;3.72997;0.297884;0.00320347
0.000836045;3.77996;0.307093;0.00306446
0.000841113;3.78997;0.308855;0.0026868
0.000870388;3.84997;0.319704;0.00270993
0.000885149;3.88;0.325152;0.00270957
0.000900392;3.90996;0.330637;0.00284785
0.000931291;3.96996;0.341563;0.00280863
0.00094125;3.98998;0.345003;0.00297988
0.000961861;4.02996;0.352122;0.00281132
0.000994375;4.08996;0.363917;0.00270188
0.000999908;4.09997;0.36587;0.00296319
0.00102761;4.14995;0.375612;0.00272382
0.0010566;4.2;0.385561;0.00310302
0.00106244;4.20995;0.387575;0.00269485
0.00109204;4.26995;0.399157;0.00241804
0.0011129;4.30999;0.406725;0.00309325
0.00112504;4.32995;0.410738;0.00295675
0.00115637;4.38;0.421389;0.00292623
0.00118114;4.41997;0.430025;0.00281158
0.00118713;4.42998;0.432116;0.00291792
0.00121919;4.47997;0.442629;0.00318066
0.00125074;4.52996;0.453066;0.00286487
0.00128256;4.57995;0.463145;0.00344983
0.00131631;4.63;0.474116;0.00270263
0.00134791;4.67998;0.485361;0.00291817
0.00138017;4.72997;0.496546;0.00284998
0.00138661;4.73998;0.498789;0.00289481
0.0014128;4.77996;0.50767;0.00300233
0.00144496;4.82995;0.518366;0.00301116
0.00145817;4.84997;0.522822;0.00291865
0.00147985;4.88;0.530024;0.00310223
0.00151481;4.92998;0.541895;0.00278704
0.00152853;4.95;0.546641;0.00299459
0.0015503;4.97997;0.553614;0.00324922
0.00158585;5.02996;0.565317;0.00282589
0.00160499;5.05999;0.57194;0.00295654
0.00161911;5.07995;0.576487;0.00325027
0.00165891;5.13;0.589106;0.00305835
0.00169012;5.16997;0.599085;0.00319592
0.00169803;5.17998;0.601588;0.00312677
0.00173547;5.22997;0.614023;0.00289503
0.00177102;5.27996;0.625986;0.00304857
0.00181418;5.32995;0.638468;0.00386683
0.0018494;5.36999;0.649225;0.00268188
0.00185658;5.38;0.65185;0.00278679
0.00187899;5.40996;0.65951;0.00306431
0.00191166;5.45;0.670145;0.00307957
0.00194341;5.48998;0.680094;0.00330273
0.00195074;5.49999;0.682429;0.00298038
0.00198251;5.53997;0.692713;0.00319639
0.00201735;5.57995;0.70376;0.00311116
0.00203551;5.59997;0.709284;0.00346592
0.00205419;5.61999;0.714777;0.00333503
