"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;0;0;-0.0043929
0;0.100037;0;-0.00413833
0;0.210022;0;-0.00427744
0;0.320007;0;-0.00433919
-1.24322e-006;0.429993;0.000286507;-0.00433925
-6.92516e-006;0.530029;0.00155537;-0.00461669
-1.48381e-005;0.640015;0.0033149;-0.00437768
-2.53262e-005;0.75;0.00581162;-0.00402387
-3.6047e-005;0.850037;0.00843136;-0.00416072
-4.39381e-005;0.910034;0.0103139;-0.00422265
-5.07687e-005;0.960022;0.0119523;-0.00411548
-6.77199e-005;1.07;0.0161691;-0.00392434
-8.48509e-005;1.17003;0.0205484;-0.00389931
-0.000106148;1.28002;0.025868;-0.00410778
-0.00012533;1.36999;0.0307012;-0.00382981
-0.000129517;1.39;0.0317655;-0.00403819
-0.000156623;1.49999;0.0383154;-0.00423859
-0.000167405;1.54003;0.0408521;-0.00426215
-0.000183952;1.60003;0.0449453;-0.0038231
-0.000208054;1.68999;0.0511251;-0.00397709
-0.000214056;1.71001;0.0526014;-0.00415397
-0.000247135;1.82;0.0607458;-0.00396913
-0.000250295;1.83001;0.061524;-0.00415319
-0.00027918;1.92003;0.068524;-0.00409979
-0.000292491;1.96001;0.0718389;-0.00393051
-0.00031695;2.03002;0.0781866;-0.00377613
-0.000334438;2.08001;0.0827299;-0.00392205
-0.000356246;2.14;0.0882955;-0.00391477
-0.00037563;2.18999;0.0930868;-0.00417664
-0.000400465;2.24999;0.0990225;-0.00419125
-0.000421263;2.30004;0.104096;-0.00400743
-0.000441708;2.35003;0.109257;-0.00391504
-0.00046306;2.40001;0.114369;-0.00443932
-0.000490572;2.46001;0.120755;-0.00417706
-0.000507862;2.49999;0.125012;-0.00394556
-0.000540892;2.57;0.133038;-0.00428506
-0.000550518;2.59002;0.135373;-0.00396177
-0.000590092;2.67003;0.145115;-0.00416204
-0.000594977;2.67998;0.146344;-0.00379201
-0.000638583;2.77001;0.157559;-0.00398424
-0.00064378;2.78002;0.158825;-0.00422266
-0.000680025;2.85003;0.167584;-0.00405374
-0.000700814;2.89;0.172741;-0.00400784
-0.000721294;2.92998;0.177861;-0.00399354
-0.000757443;2.99999;0.186993;-0.00392297
-0.000763231;3.01;0.18842;-0.0041919
-0.00080533;3.08001;0.198453;-0.00420037
-0.000817562;3.10003;0.201397;-0.00410691
-0.000845638;3.15001;0.208485;-0.00381546
-0.000880513;3.21001;0.217366;-0.00403886
-0.000886841;3.22002;0.218922;-0.00409227
-0.00092793;3.29003;0.229153;-0.00394004
-0.000944517;3.32;0.233372;-0.00392287
-0.000967189;3.36004;0.239262;-0.00377577
-0.00100326;3.42003;0.248845;-0.00375323
-0.00101011;3.42998;0.250561;-0.00422244
-0.00105541;3.49999;0.262066;-0.0036531
-0.0010726;3.53002;0.266858;-0.00352221
-0.00109814;3.57;0.273526;-0.00413828
-0.00113966;3.63;0.283558;-0.00413828
-0.00114676;3.64;0.285275;-0.00413865
-0.0011861;3.7;0.294896;-0.00403828
-0.00122175;3.74999;0.303776;-0.00399047
-0.00122909;3.76;0.305623;-0.00396114
-0.00127156;3.82;0.316304;-0.00399214
-0.00129335;3.85003;0.321873;-0.00382989
-0.00131373;3.88;0.327321;-0.00365263
-0.00135454;3.93999;0.33833;-0.00376183
-0.00136791;3.96001;0.341893;-0.00374561
-0.00139334;3.99999;0.348935;-0.00347596
-0.00143446;4.05999;0.36031;-0.00375348
-0.00144188;4.07;0.362233;-0.00396806
-0.00148092;4.11999;0.372059;-0.00397616
-0.00151844;4.17003;0.381917;-0.00363761
-0.00152606;4.17998;0.383977;-0.00375968
-0.00156954;4.23998;0.395794;-0.00359815
-0.00159647;4.28002;0.403256;-0.00362104
-0.00161071;4.30004;0.407094;-0.00379854
-0.00165062;4.35003;0.417622;-0.00378328
-0.00168244;4.39001;0.426137;-0.00369149
-0.00169048;4.40001;0.428349;-0.00357514
-0.00172935;4.45;0.438817;-0.00385219
-0.00176853;4.49999;0.449269;-0.00364452
-0.00180548;4.55004;0.459332;-0.00369888
-0.00184565;4.60003;0.470135;-0.00373751
-0.00188854;4.65001;0.481473;-0.00382954
-0.0019304;4.7;0.492535;-0.0037381
-0.00193888;4.71001;0.494824;-0.00366801
-0.00197271;4.74999;0.50375;-0.0039131
-0.00201487;4.80004;0.514554;-0.00389185
-0.00203018;4.82;0.518735;-0.00342979
-0.00205407;4.85003;0.525647;-0.00348272
-0.00209837;4.90001;0.537762;-0.00382986
-0.00211615;4.92003;0.542355;-0.00391378
-0.00214322;4.95;0.549313;-0.00386705
-0.00218767;4.99999;0.561184;-0.0036216
-0.00221231;5.03002;0.567853;-0.00376823
-0.0022292;5.05004;0.572354;-0.00373714
-0.00227334;5.10003;0.584302;-0.00365203
-0.002314;5.14001;0.594708;-0.00416177
-0.00236278;5.18999;0.607144;-0.00368278
-0.00240684;5.23998;0.619427;-0.00349121
-0.00241536;5.24999;0.621853;-0.00353627
-0.00244793;5.29003;0.631268;-0.00338238
-0.00248371;5.33001;0.641705;-0.00347464
-0.00250309;5.35003;0.647107;-0.00369876
-0.00252222;5.36999;0.652264;-0.00372165
-0.00256163;5.41002;0.662777;-0.00377505
-0.00260133;5.45;0.67326;-0.00379889
-0.00261088;5.46001;0.675793;-0.00374501
-0.00264471;5.49999;0.685422;-0.00328194
-0.00268017;5.54003;0.696026;-0.00340503
-0.00270885;5.57;0.704449;-0.00340526
-0.0027181;5.58001;0.70715;-0.00344365
-0.00275683;5.61999;0.717999;-0.00369667
-0.00279838;5.66002;0.728818;-0.00398397
-0.00280783;5.67003;0.731305;-0.00361394
-0.00283428;5.7;0.738843;-0.00340556
-0.00287049;5.73998;0.749524;-0.00337427
-0.00291086;5.78002;0.761273;-0.00349831
-0.00295098;5.82;0.77258;-0.0035982
-0.00299259;5.86004;0.783795;-0.00382184
-0.00302196;5.89001;0.791852;-0.00346803
-0.00303077;5.90001;0.794385;-0.00349008
-0.00306844;5.93999;0.805447;-0.00332033
-0.00311052;5.98003;0.817517;-0.00365313
-0.00313215;5.99999;0.823254;-0.00388392
-0.00315404;6.02001;0.828976;-0.00376757
-0.00319879;6.06004;0.840697;-0.00386841
-0.00323965;6.10002;0.851531;-0.00367541
-0.00328007;6.14;0.862959;-0.00339742
-0.00332618;6.18003;0.875533;-0.00393744
-0.00336075;6.21;0.884444;-0.00382252
-0.00337236;6.22001;0.887526;-0.00370665
-0.00341824;6.25999;0.899352;-0.00405283
