"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;9.53696e-009;1.36424e-012;-0.00677035
0;0.0300293;1.36424e-012;-0.00655482
0;0.140015;1.36424e-012;-0.0066399
0;0.25;1.36424e-012;-0.00676364
2.76552e-007;0.359985;-4.09354e-005;-0.00674802
-2.78431e-007;0.460022;4.09354e-005;-0.00680954
-6.43621e-006;0.570007;0.000941204;-0.00687033
-1.75545e-005;0.679993;0.00257866;-0.00670964
-3.17308e-005;0.780029;0.00466626;-0.00687176
-5.10567e-005;0.890015;0.00744908;-0.00701768
-7.14412e-005;0.98999;0.0103144;-0.00721079
-7.39327e-005;1;0.0106825;-0.00632579
-9.95505e-005;1.10999;0.0145716;-0.00684843
-0.000126868;1.21002;0.0186667;-0.00649342
-0.000138915;1.25;0.0204672;-0.00688729
-0.000161893;1.32001;0.0238241;-0.00680253
-0.000200448;1.42999;0.0295538;-0.00665543
-0.000208398;1.45001;0.0307402;-0.00674793
-0.000238497;1.53003;0.0352034;-0.00673983
-0.000278199;1.62;0.0409331;-0.00711839
-0.000285891;1.64001;0.0420393;-0.00678699
-0.00033796;1.75;0.0497336;-0.00674777
-0.000347031;1.77002;0.051084;-0.00668578
-0.000392075;1.85999;0.0577597;-0.00680916
-0.000417263;1.90997;0.0615248;-0.0065704
-0.000442792;1.96002;0.0653738;-0.00669485
-0.000487437;2.03998;0.0718817;-0.00702554
-0.000504859;2.07001;0.0743765;-0.00694066
-0.000561182;2.15997;0.0826468;-0.00667995
-0.000573715;2.17999;0.0844893;-0.00692463
-0.000632117;2.27002;0.0931639;-0.00654053
-0.000637929;2.28003;0.094068;-0.00631642
-0.000701986;2.38;0.104051;-0.00651669
-0.000708686;2.39001;0.105081;-0.00649321
-0.000770029;2.47998;0.114374;-0.00670939
-0.000784483;2.5;0.11654;-0.00663238
-0.000839453;2.58002;0.124971;-0.00640827
-0.000860324;2.60999;0.128251;-0.00631529
-0.000905362;2.66998;0.135332;-0.00640732
-0.000937519;2.71002;0.140161;-0.0069099
-0.000979483;2.76001;0.146303;-0.00675541
-0.00102876;2.82001;0.153673;-0.00661665
-0.0010545;2.84998;0.157518;-0.00677114
-0.00112438;2.92999;0.167711;-0.00693988
-0.00119244;3.01001;0.177782;-0.0065782
-0.00120933;3.03003;0.180314;-0.00675559
-0.00126237;3.09003;0.188425;-0.00632357
-0.00130809;3.14001;0.195543;-0.00652408
-0.00132741;3.15997;0.198533;-0.00639295
-0.00139263;3.22998;0.208566;-0.00660908
-0.00141147;3.25;0.211389;-0.00674069
-0.00146166;3.29999;0.218835;-0.00673979
-0.00152125;3.35999;0.22764;-0.0067951
-0.00153127;3.37;0.229112;-0.0068174
