"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;9.53696e-009;0;-0.00241577
0;0.100037;0;-0.00227751
0;0.210022;0;-0.00220796
0;0.320007;0;-0.00228509
-2.67684e-007;0.420044;0.000122713;-0.00207766
-2.69539e-006;0.530029;0.00122731;-0.00231799
-6.64032e-006;0.640015;0.00294678;-0.00227054
-1.17607e-005;0.740051;0.00511639;-0.00244959
-1.81683e-005;0.850037;0.00781815;-0.00229367
-2.36166e-005;0.920044;0.0100688;-0.00254782
-2.69409e-005;0.960022;0.0113391;-0.00268611
-3.81967e-005;1.07001;0.0153903;-0.00287064
-4.94531e-005;1.17004;0.0195636;-0.00252386
-5.17059e-005;1.19;0.0205077;-0.00224825
-6.2076e-005;1.28003;0.024847;-0.00253149
-7.59659e-005;1.39001;0.0306987;-0.00221577
-8.91568e-005;1.49005;0.0364322;-0.00238558
-9.98397e-005;1.56;0.0408534;-0.00244697
-0.000106264;1.60004;0.0434703;-0.00246281
-0.00012373;1.71002;0.0511264;-0.00209994
-0.000141475;1.82001;0.0592326;-0.00227816
-0.000146804;1.85004;0.0615253;-0.00237066
-0.000159997;1.92004;0.0669688;-0.00247652
-0.000172073;1.98004;0.0719203;-0.002401
-0.000182123;2.03003;0.0763034;-0.00218488
-0.000196446;2.10004;0.0826892;-0.00230113
-0.000204613;2.14001;0.0863742;-0.00213126
-0.000219947;2.21002;0.0930843;-0.0024393
-0.000227163;2.24005;0.0959872;-0.00253198
-0.000247824;2.32001;0.104097;-0.00256322
-0.000255471;2.35004;0.107126;-0.00248597
-0.000274415;2.42004;0.114496;-0.00265501
-0.000284283;2.46002;0.118547;-0.00221632
-0.000297955;2.52002;0.125055;-0.00198529
-0.000309985;2.57001;0.130701;-0.0022764
-0.00032105;2.61005;0.13537;-0.0024632
-0.000338461;2.67004;0.142656;-0.0023161
-0.000346882;2.70001;0.146341;-0.00225458
-0.00036897;2.78003;0.156122;-0.00226199
-0.00037203;2.79004;0.157473;-0.00226974
-0.000394872;2.87;0.167711;-0.00219213
-0.000400367;2.89001;0.170328;-0.00200712
-0.000414598;2.95001;0.17782;-0.00179187
-0.000424919;2.99005;0.183062;-0.0021464
-0.000435892;3.03003;0.188425;-0.00194559
-0.000457907;3.10004;0.198572;-0.00239358
-0.000479248;3.17004;0.208605;-0.00186059
-0.000489955;3.21002;0.214334;-0.0018768
-0.00049901;3.24005;0.218836;-0.00214646
-0.000521069;3.31;0.229151;-0.00213078
-0.00052389;3.32001;0.230509;-0.00202301
-0.000540865;3.38;0.239267;-0.00185326
-0.000552571;3.42004;0.245531;-0.00188449
-0.000562568;3.45001;0.250521;-0.00212267
-0.00058859;3.52002;0.261988;-0.00241593
-0.000592573;3.53003;0.26362;-0.00246266
-0.000616356;3.59003;0.273607;-0.00230029
-0.00063507;3.64001;0.281839;-0.00224617
-0.000643025;3.66003;0.285196;-0.00249318
-0.000668098;3.73004;0.296534;-0.00193003
-0.000671723;3.74005;0.29825;-0.00229243
-0.000692428;3.79003;0.307467;-0.00220063
-0.000715824;3.85003;0.318232;-0.00214603
-0.000735097;3.91002;0.329203;-0.00136735
-0.000751913;3.96001;0.338412;-0.00228479
-0.000755769;3.97002;0.340128;-0.00220802
-0.000779473;4.03002;0.350771;-0.0022464
-0.000791349;4.06005;0.356181;-0.00214436
-0.000804485;4.09002;0.36236;-0.00210717
-0.000829847;4.15001;0.374178;-0.00218489
-0.000838026;4.17003;0.377955;-0.00214627
-0.00085392;4.21001;0.385981;-0.00181439
-0.000877458;4.27001;0.397685;-0.00220802
-0.000881343;4.28002;0.399531;-0.00200012
-0.000899955;4.33001;0.40919;-0.00185373
-0.000920489;4.38;0.419703;-0.00205269
-0.000924656;4.39001;0.421748;-0.00202277
-0.000943188;4.43004;0.430354;-0.00228407
-0.000964634;4.48003;0.440958;-0.00176051
-0.000968376;4.49004;0.443079;-0.0017679
-0.000983634;4.53002;0.45135;-0.00192191
-0.00100204;4.58001;0.461497;-0.00170591
-0.00100904;4.60003;0.465678;-0.00164463
-0.00102102;4.63;0.472437;-0.00189831
-0.00104102;4.68004;0.483653;-0.00166776
-0.00105208;4.71001;0.490275;-0.00167467
-0.00105997;4.73003;0.4947;-0.0018902
-0.00107987;4.78002;0.505961;-0.00164487
-0.00109022;4.81005;0.512385;-0.00157525
-0.00109753;4.83001;0.516688;-0.00182226
-0.00111836;4.88;0.527979;-0.00186839
-0.0011373;4.92003;0.53773;-0.00201573
-0.00114189;4.93004;0.540064;-0.00191464
-0.00116608;4.98003;0.551676;-0.00225248
-0.00119089;5.03002;0.563517;-0.00193777
-0.00120987;5.08001;0.574641;-0.00147476
-0.0012286;5.13;0.586924;-0.00157496
-0.00123289;5.14001;0.589549;-0.00169798
-0.00124624;5.17003;0.597117;-0.00182983
-0.00126921;5.22002;0.609614;-0.00184502
-0.00127834;5.24004;0.614512;-0.00188317
-0.00129219;5.27001;0.621806;-0.00191473
-0.00131339;5.32;0.633799;-0.001621
-0.00132681;5.35003;0.641612;-0.00181364
-0.00133201;5.36004;0.644404;-0.00191426
-0.0013528;5.40001;0.654841;-0.00206905
-0.00137279;5.43999;0.665324;-0.0017448
-0.00138276;5.46001;0.670649;-0.00199872
-0.00139338;5.48003;0.675806;-0.00212269
-0.00141484;5.53002;0.687998;-0.00139742
-0.00142642;5.56005;0.695979;-0.00150519
-0.00143055;5.57;0.698924;-0.00129729
-0.00144584;5.61004;0.709864;-0.00149756
-0.00146298;5.65001;0.720667;-0.00167494
-0.0014718;5.67003;0.726069;-0.00159054
-0.00147999;5.68999;0.731272;-0.00155964
-0.00149632;5.73003;0.741419;-0.00165977
-0.00151384;5.77001;0.752436;-0.00152006
-0.00151824;5.78002;0.755427;-0.00142088
-0.00153115;5.81005;0.764094;-0.00155952
-0.00154971;5.85003;0.775431;-0.00171306
-0.00156875;5.89001;0.786448;-0.00174453
-0.00158566;5.93004;0.797053;-0.00144362
-0.00160227;5.97002;0.808466;-0.0014668
-0.00161155;5.99004;0.814448;-0.00163656
-0.00162053;6.01;0.820338;-0.00141292
-0.00163772;6.05004;0.832056;-0.00152069
-0.00165605;6.09002;0.843394;-0.00171392
-0.00166036;6.10003;0.846171;-0.00138967
-0.00167147;6.13;0.854273;-0.00135153
-0.00169043;6.17003;0.866114;-0.00185125
-0.00171274;6.21001;0.878519;-0.00174635
-0.00173498;6.25005;0.890589;-0.0019378
-0.00175501;6.29003;0.902171;-0.001522
-0.00176324;6.31005;0.907664;-0.00147491
-0.00177071;6.33001;0.913355;-0.00115018
-0.00178878;6.37005;0.926081;-0.00168901
-0.00180881;6.41002;0.938654;-0.00149768
-0.00181352;6.42003;0.941889;-0.0014128
-0.00182822;6.45;0.951334;-0.00169902
-0.00184377;6.49004;0.963007;-0.000965648
-0.00185783;6.53002;0.975001;-0.00137954
-0.00187302;6.56005;0.985072;-0.00163644
-0.00189213;6.60003;0.997965;-0.00132831
-0.0019141;6.64001;1.01081;-0.00209209
-0.0019338;6.68004;1.02273;-0.00121375
-0.00195322;6.72002;1.03587;-0.00174209
-0.00196466;6.74004;1.04275;-0.00158187
-0.00196961;6.75005;1.04606;-0.00141307
-0.00198943;6.79003;1.05929;-0.0015827
-0.00200911;6.83001;1.07173;-0.0015827
-0.00201823;6.85003;1.07778;-0.00142797
-0.00202642;6.87005;1.08418;-0.00113484
-0.00204093;6.90001;1.09474;-0.00161263
-0.00205761;6.93004;1.10505;-0.00162121
-0.00207432;6.96001;1.11541;-0.00160547
-0.00209085;7.00005;1.12831;-0.000957929
-0.00210374;7.04003;1.1412;-0.00104161
-0.00211174;7.06005;1.14833;-0.00120422
-0.00211635;7.07;1.15188;-0.00138923
-0.00213012;7.10003;1.16244;-0.00121944
-0.00214422;7.13;1.17285;-0.00148945
-0.00216249;7.17003;1.18582;-0.00132804
-0.002178;7.21001;1.19912;-0.00100303
-0.00218989;7.24004;1.21009;-0.00116564
-0.00220272;7.27001;1.22061;-0.00127388
-0.00220712;7.28002;1.22422;-0.00115801
-0.00221539;7.30004;1.23113;-0.00123525
-0.00222746;7.33001;1.24125;-0.00115109
-0.0022413;7.37005;1.25468;-0.000910171
-0.00224912;7.39001;1.26242;-0.00111128
-0.00225381;7.40001;1.26617;-0.00138784
-0.00226767;7.43004;1.27723;-0.00111938
-0.00228165;7.46001;1.2882;-0.00142813
-0.00229362;7.49004;1.29827;-0.000949867
-0.00230245;7.52001;1.30862;-0.000756033
-0.00231346;7.55004;1.32017;-0.0011499
-0.00232567;7.58001;1.33151;-0.00100399
-0.00233272;7.60003;1.33888;-0.000910528
-0.00233688;7.61004;1.34268;-0.00128055
-0.00234926;7.64001;1.35337;-0.00103451
-0.00235676;7.67003;1.36381;-0.000401505
-0.00236465;7.7;1.37556;-0.000941284
-0.00236814;7.71001;1.37953;-0.00081826
-0.00237488;7.73003;1.38719;-0.000942238
-0.00238735;7.76;1.3986;-0.00124229
-0.00239851;7.79003;1.40908;-0.000888474
-0.00240291;7.81005;1.41596;-0.000388511
-0.00240436;7.82;1.41964;-0.000401266
-0.00241158;7.85003;1.4318;-0.000786551
-0.00242349;7.88;1.44351;-0.00124908
-0.00243683;7.91002;1.45484;-0.00110317
-0.00244077;7.92003;1.45861;-0.000988253
-0.00244619;7.93999;1.46582;-0.000517138
-0.00245191;7.97002;1.47679;-0.000524767
-0.00246038;8.00005;1.48912;-0.00084997
-0.00247305;8.03002;1.50105;-0.0012734
-0.0024882;8.06005;1.51274;-0.00131918
-0.00249911;8.09002;1.52362;-0.00068713
-0.00250686;8.12005;1.53495;-0.000678547
-0.00251359;8.14001;1.54319;-0.000956066
-0.00251738;8.15001;1.54728;-0.000895508
-0.0025278;8.18004;1.55918;-0.00085593
-0.00253862;8.21001;1.57107;-0.000964649
-0.00254688;8.24004;1.582;-0.000547894
-0.00255534;8.27001;1.59407;-0.000853069
