"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;9.53696e-009;0;-0.00666334
0;0.100037;0;-0.0065554
0;0.210022;0;-0.00662483
0;0.320007;0;-0.0066866
-1.35477e-006;0.420044;0.000204252;-0.00657907
-1.02257e-005;0.530029;0.00151436;-0.00696317
-2.25871e-005;0.640015;0.00327485;-0.00707999
-3.80291e-005;0.740051;0.00552456;-0.00664796
-5.68553e-005;0.850037;0.00839131;-0.00648625
-6.92263e-005;0.910034;0.0102739;-0.00665656
-8.01126e-005;0.960022;0.0119123;-0.00663224
-0.000107369;1.07001;0.0160875;-0.0064241
-0.000135059;1.17004;0.0203847;-0.00646344
-0.000170525;1.28003;0.0257882;-0.00666323
-0.000201681;1.37006;0.0305356;-0.00646267
-0.000209133;1.39001;0.0316839;-0.00651608
-0.000247586;1.49005;0.0375776;-0.00653277
-0.000268109;1.54004;0.0406865;-0.00667007
-0.000293843;1.60004;0.0446195;-0.00641591
-0.000335601;1.69;0.0510053;-0.00666268
-0.000345039;1.71002;0.0524358;-0.00653202
-0.000398395;1.82001;0.060542;-0.00663216
-0.000403699;1.83002;0.0613622;-0.00630219
-0.000447833;1.92004;0.0684003;-0.00623925
-0.000468526;1.96002;0.0717191;-0.00623102
-0.000506322;2.03003;0.0778569;-0.00608451
-0.00053583;2.08002;0.0824422;-0.00678654
-0.000572935;2.14001;0.0880498;-0.00644721
-0.000603426;2.19;0.092883;-0.00616993
-0.00063421;2.24005;0.0978727;-0.00616924
-0.000671857;2.30005;0.103892;-0.00633918
-0.000704421;2.35004;0.109008;-0.00639235
-0.000737472;2.40002;0.114165;-0.00642434
-0.000778079;2.46002;0.120513;-0.00636999
-0.00080518;2.5;0.124724;-0.00650016
-0.000857504;2.57001;0.13275;-0.00653831
-0.000873275;2.59003;0.135207;-0.00630084
-0.000933131;2.67004;0.14479;-0.00619198
-0.000940615;2.68005;0.14601;-0.00606896
-0.00100309;2.76001;0.156043;-0.0063854
-0.00101897;2.78003;0.158538;-0.00634725
-0.00106785;2.84003;0.166114;-0.00655611
-0.00110975;2.89001;0.172461;-0.00664671
-0.00113557;2.92004;0.176307;-0.00677903
-0.00119474;2.99005;0.185355;-0.00630051
-0.00120324;3;0.186706;-0.00628513
-0.00126662;3.07001;0.196814;-0.00625438
-0.00129395;3.10004;0.20111;-0.00646991
-0.00133865;3.15002;0.208274;-0.00600881
-0.00139338;3.21002;0.21704;-0.00647861
-0.00140311;3.22003;0.218512;-0.00673992
-0.00147131;3.29004;0.228789;-0.00653202
-0.00149941;3.32001;0.233123;-0.00643856
-0.00153757;3.36005;0.238982;-0.00658542
-0.00159862;3.42004;0.248435;-0.00633139
-0.00160943;3.43005;0.250113;-0.00655455
-0.0016845;3.5;0.261619;-0.00649399
-0.00171608;3.53003;0.266532;-0.00636191
-0.00175939;3.57001;0.273246;-0.00653977
-0.00183571;3.64001;0.284827;-0.00663978
-0.00190772;3.71002;0.296126;-0.00610721
-0.00194042;3.74005;0.30149;-0.00608385
-0.00197464;3.77002;0.307052;-0.00622332
-0.00204203;3.83002;0.31774;-0.00638544
-0.00206557;3.85004;0.321502;-0.00613081
-0.00211129;3.89001;0.328872;-0.00627696
-0.00218079;3.95001;0.339843;-0.00639379
-0.00219173;3.96002;0.341567;-0.00629317
-0.00224649;4.01001;0.35028;-0.0062772
-0.00232015;4.07001;0.361823;-0.00648558
-0.0023943;4.13;0.373649;-0.00605341
-0.00244211;4.17004;0.381507;-0.00611517
-0.00246762;4.19;0.385611;-0.00631548
-0.00254105;4.25;0.397239;-0.00631584
-0.00257676;4.28003;0.40293;-0.00623096
-0.00261138;4.31;0.408698;-0.00577606
-0.00267367;4.36005;0.419333;-0.00593747
-0.00269894;4.38006;0.423562;-0.00601484
-0.00273807;4.41002;0.42994;-0.00625325
-0.00280304;4.46001;0.440499;-0.00605394
-0.00284234;4.49004;0.44677;-0.00647808
-0.00286904;4.51;0.450936;-0.00633914
-0.00293253;4.56005;0.461007;-0.00626953
-0.0029882;4.60003;0.469689;-0.00655449
-0.00300311;4.61004;0.471947;-0.00665558
-0.00307494;4.66002;0.483163;-0.00615335
-0.00314406;4.71001;0.494408;-0.00613875
-0.00321231;4.76;0.505471;-0.00620011
-0.0032779;4.81005;0.516198;-0.00603036
-0.00334615;4.86004;0.527566;-0.00597623
-0.00341801;4.91002;0.539529;-0.00603798
-0.00343222;4.92003;0.541863;-0.00613812
-0.00349026;4.96001;0.551278;-0.00619164
-0.00356152;5.01;0.562981;-0.00598446
-0.00358792;5.03002;0.567437;-0.00586835
-0.00362722;5.06005;0.574151;-0.00583711
-0.00369968;5.11004;0.586404;-0.00599149
-0.00373108;5.13006;0.591561;-0.00618461
-0.00376272;5.15001;0.596673;-0.00619224
-0.00383991;5.2;0.609078;-0.00625339
-0.00390205;5.24004;0.618905;-0.00639272
-0.00391641;5.25005;0.621194;-0.0061543
-0.00398919;5.30004;0.633263;-0.0059067
-0.00405307;5.34002;0.643822;-0.00619257
-0.00406973;5.35003;0.646493;-0.0062846
-0.00411739;5.38006;0.654351;-0.00584591
-0.00418;5.42003;0.664834;-0.00609887
-0.00424542;5.46001;0.675301;-0.00640071
-0.00431932;5.51;0.687463;-0.00575251
-0.00438263;5.55004;0.698281;-0.00595251
-0.00439935;5.56005;0.701058;-0.00608412
-0.00444978;5.59002;0.709374;-0.00604573
-0.00451326;5.63006;0.720086;-0.0058066
-0.00457838;5.67003;0.730904;-0.0062311
-0.0046386;5.71001;0.740929;-0.00578383
-0.00470237;5.75005;0.751824;-0.00592199
-0.00475455;5.78002;0.760659;-0.00589124
-0.004771;5.79003;0.763482;-0.00576058
-0.00483625;5.83001;0.774743;-0.00582782
-0.00490553;5.87005;0.786004;-0.00647727
-0.00492255;5.88006;0.788705;-0.00612441
-0.00496825;5.91002;0.796441;-0.0056912
-0.00503356;5.95;0.807824;-0.00578276
-0.00510625;5.99004;0.819848;-0.00630823
-0.00517616;6.03002;0.831353;-0.00584498
-0.00524416;6.07;0.842858;-0.00597611
-0.0052925;6.10003;0.851052;-0.00582352
-0.00530836;6.11004;0.853783;-0.0057911
-0.00537515;6.15001;0.865456;-0.00565186
-0.00544637;6.19005;0.877938;-0.00576022
-0.00548059;6.21001;0.883828;-0.00586036
-0.00551619;6.23003;0.889855;-0.00595239
-0.00558663;6.27001;0.901559;-0.006084
-0.00565188;6.31005;0.912774;-0.00555232
-0.00572442;6.35003;0.925378;-0.00595811
-0.00580195;6.39001;0.938027;-0.00630048
-0.00586261;6.42003;0.947655;-0.00630048
-0.00588158;6.43004;0.950677;-0.00625423
-0.00595152;6.47002;0.96235;-0.00572971
-0.00601797;6.51;0.974343;-0.0053508
-0.00605527;6.53002;0.981011;-0.00583717
-0.0060944;6.55004;0.987572;-0.00609133
-0.00617332;6.59002;1.00062;-0.00600705
-0.00624886;6.63006;1.01331;-0.00589261
-0.00631435;6.67003;1.02511;-0.00521246
-0.00636824;6.7;1.03521;-0.00545851
-0.00642503;6.73003;1.0454;-0.00568357
-0.00644366;6.74004;1.04864;-0.00583711
-0.00650243;6.77001;1.05863;-0.00592205
-0.00657415;6.81005;1.07116;-0.00552842
-0.00663987;6.85003;1.08344;-0.00517175
-0.0066968;6.88006;1.09403;-0.00558183
-0.00675448;6.91002;1.10439;-0.00555226
-0.00681199;6.94005;1.11471;-0.00559804
-0.00685006;6.96001;1.1213;-0.00595281
-0.00688684;6.98003;1.1276;-0.00572142
-0.00695855;7.02001;1.14047;-0.005428
-0.00701819;7.05004;1.15119;-0.00569026
-0.00703808;7.06005;1.15479;-0.00536029
-0.00707545;7.08001;1.16171;-0.00545185
-0.00713299;7.11004;1.17214;-0.00557487
-0.00720369;7.15001;1.18525;-0.00521212
-0.00723624;7.17003;1.19155;-0.00511961
-0.007271;7.19005;1.19839;-0.00504904
-0.00732827;7.22002;1.20931;-0.00543575
-0.00738701;7.25005;1.21987;-0.00569038
-0.00744823;7.28002;1.23052;-0.00580482
-0.00750423;7.31005;1.24055;-0.00536661
-0.00757431;7.35003;1.25398;-0.0050724
-0.00763491;7.38006;1.26543;-0.00550394
-0.00769547;7.41002;1.27653;-0.00541334
-0.00775616;7.44005;1.28742;-0.00572901
-0.00781344;7.47002;1.29766;-0.00545912
-0.00784877;7.49004;1.30428;-0.00521301
-0.00786728;7.50005;1.30781;-0.00528883
-0.00792903;7.53002;1.31939;-0.00537418
-0.00799104;7.56005;1.33077;-0.00552069
-0.00805219;7.59002;1.34191;-0.00545882
-0.00807231;7.60003;1.34564;-0.00535105
-0.00811044;7.62005;1.35276;-0.00535105
-0.00816219;7.65001;1.36298;-0.00477217
-0.00821988;7.68004;1.37483;-0.0049725
-0.00827825;7.71001;1.38644;-0.00508027
-0.00833661;7.74004;1.39782;-0.00517325
-0.00839119;7.77001;1.40838;-0.00516553
-0.00844316;7.80004;1.41895;-0.00466389
-0.00846182;7.81005;1.4228;-0.00504155
-0.00850406;7.83001;1.43095;-0.00532765
-0.00856675;7.86004;1.4427;-0.00534374
-0.00862838;7.89001;1.45416;-0.00541193
-0.00868696;7.92003;1.46513;-0.00526673
-0.00874233;7.95;1.47601;-0.00491137
-0.00880449;7.98003;1.48821;-0.00527377
-0.00886682;8.01;1.50015;-0.00517327
-0.00890861;8.03002;1.50811;-0.0053199
-0.00892914;8.04003;1.51199;-0.00527365
-0.00898382;8.07;1.52288;-0.00476415
-0.00903776;8.10003;1.53405;-0.00489528
-0.00910258;8.13006;1.54644;-0.00556678
-0.00916859;8.16002;1.55837;-0.00549717
-0.00923473;8.19005;1.57032;-0.00557441
-0.0092909;8.22002;1.58126;-0.00469513
-0.00932718;8.24004;1.58895;-0.00473995
-0.00934762;8.25005;1.59319;-0.00489444
-0.00941401;8.28002;1.60619;-0.00531978
-0.00947915;8.31005;1.61849;-0.00527377
-0.00954184;8.34002;1.63026;-0.00538344
-0.00956082;8.35003;1.63398;-0.00481124
-0.00959714;8.37005;1.64155;-0.0047873
-0.00966118;8.40001;1.65437;-0.00520406
-0.00973024;8.43004;1.66718;-0.00557325
-0.00980078;8.46001;1.67967;-0.00572894
-0.00986396;8.49004;1.69109;-0.00532768
-0.00992593;8.52001;1.70312;-0.00497959
-0.009993;8.55004;1.71639;-0.00512598
-0.0100153;8.56005;1.72067;-0.0053272
-0.0100605;8.58001;1.72927;-0.00516508
-0.010121;8.61004;1.74143;-0.00478811
-0.0101731;8.64001;1.75298;-0.00422544
-0.0102317;8.67003;1.76617;-0.00466413
-0.0102955;8.7;1.77929;-0.00506515
-0.0103618;8.73003;1.79214;-0.00525723
-0.0104194;8.76;1.80395;-0.00449405
-0.0104552;8.78002;1.81216;-0.00422416
-0.010474;8.79003;1.81652;-0.00442348
-0.0105377;8.82;1.83022;-0.00486431
-0.0106023;8.85003;1.8435;-0.00486467
-0.0106613;8.88006;1.85577;-0.0047569
-0.0107165;8.91002;1.86784;-0.00439408
-0.0107791;8.94005;1.88142;-0.00482491
-0.0108455;8.97002;1.89481;-0.00508812
-0.0108905;8.99004;1.90357;-0.00518873
-0.0109116;9.00005;1.90766;-0.00512722
-0.010968;9.03002;1.91963;-0.00430897
-0.0110288;9.06005;1.93302;-0.00475624
-0.0110992;9.09002;1.94709;-0.0052574
-0.0111228;9.10003;1.95167;-0.00505808
-0.0111688;9.12005;1.96073;-0.00508097
-0.0112273;9.15001;1.973;-0.00445631
-0.0112881;9.18004;1.98643;-0.00460186
-0.0113568;9.21001;2.00077;-0.00498018
-0.0114275;9.24004;2.0145;-0.00531992
-0.0114915;9.27001;2.02711;-0.00482735
-0.0115523;9.30004;2.04035;-0.0043548
-0.011574;9.31005;2.04527;-0.00447783
-0.0116196;9.33001;2.05491;-0.00498661
-0.0116891;9.36004;2.06889;-0.00495753
-0.0117509;9.39006;2.08174;-0.00465594
-0.0118098;9.42002;2.09499;-0.00423084
-0.0118767;9.45005;2.10982;-0.0048009
-0.0119447;9.48002;2.12386;-0.00488744
-0.0120061;9.51005;2.13692;-0.00450192
-0.0120438;9.53001;2.14556;-0.00424681
-0.0120642;9.54002;2.15026;-0.00440798
-0.012131;9.57005;2.16484;-0.00475655
-0.0122001;9.60002;2.17925;-0.00484143
-0.0122618;9.63005;2.19255;-0.0044199
-0.0123185;9.66002;2.20598;-0.00403098
-0.0123844;9.69004;2.22091;-0.00479535
-0.0124557;9.72001;2.23528;-0.00512616
-0.0125014;9.74003;2.24459;-0.0046951
-0.0125213;9.75004;2.24883;-0.00468687
-0.0125802;9.78001;2.2621;-0.00419096
-0.012624;9.80003;2.27236;-0.00434737
-0.0126695;9.82005;2.28243;-0.00470261
-0.0127405;9.85002;2.29717;-0.00491838
-0.0127993;9.88005;2.3105;-0.00390272
-0.0128615;9.91002;2.32549;-0.00440721
-0.0129085;9.93003;2.3358;-0.0046945
-0.0129566;9.95005;2.34581;-0.00491862
-0.0130217;9.98002;2.35988;-0.00433258
-0.0130767;10.0101;2.37377;-0.00358967
-0.0131166;10.03;2.38417;-0.00409226
-0.0131602;10.05;2.39431;-0.00450138
-0.0131833;10.06;2.39934;-0.00467877
-0.0132069;10.07;2.40438;-0.00470976
-0.0132667;10.1;2.41805;-0.00403933
-0.0133238;10.13;2.43242;-0.00390653
-0.0133689;10.15;2.44323;-0.00442961
-0.0134152;10.17;2.4536;-0.00449446
-0.0134785;10.2001;2.46828;-0.00414244
-0.0135318;10.23;2.48214;-0.00353924
-0.0135718;10.25;2.49245;-0.00423065
-0.0136169;10.27;2.50283;-0.00445477
-0.0136404;10.28;2.50798;-0.00467888
-0.0136646;10.29;2.51314;-0.0046945
-0.0137275;10.32;2.52761;-0.00400118
-0.0137826;10.35;2.54186;-0.00372938
-0.0138239;10.37;2.55245;-0.00406126
-0.0138456;10.38;2.55773;-0.00418428
-0.013868;10.3901;2.56289;-0.0045009
-0.0139142;10.41;2.57308;-0.00457088
-0.0139733;10.44;2.5869;-0.00397054
-0.0140287;10.47;2.60158;-0.00357405
-0.0140714;10.49;2.61251;-0.00424544
-0.0141187;10.5101;2.62291;-0.00484101
-0.0141847;10.54;2.63747;-0.00423971
-0.0142398;10.57;2.65157;-0.00356737
-0.0142807;10.59;2.66216;-0.00415293
-0.0143032;10.6;2.66753;-0.0042235
-0.0143259;10.61;2.67284;-0.00435416
-0.0143745;10.63;2.68328;-0.00495592
-0.0144408;10.66;2.69765;-0.00427023
-0.014501;10.69;2.71215;-0.00402991
-0.0145226;10.7001;2.71746;-0.0041
-0.014545;10.71;2.7228;-0.0043079
-0.0145916;10.73;2.73326;-0.00459448
-0.0146373;10.75;2.74334;-0.00447146
-0.0146921;10.78;2.75701;-0.00355343
-0.0147482;10.81;2.77227;-0.00379089
-0.0147929;10.83;2.78307;-0.00450042
-0.0148401;10.85;2.79345;-0.00459418
-0.0149045;10.88;2.808;-0.00425468
-0.0149603;10.91;2.82222;-0.00358329
-0.0149796;10.92;2.8275;-0.00373683
-0.0149998;10.93;2.83278;-0.0039371
-0.0150422;10.9501;2.84322;-0.00417723
-0.0150857;10.97;2.85338;-0.00437798
-0.0151428;11;2.86724;-0.00386848
-0.015198;11.03;2.88185;-0.00369014
-0.0152373;11.05;2.89247;-0.00370636
-0.0152787;11.07;2.90282;-0.00430097
-0.0153397;11.1;2.91738;-0.00407841
-0.0153896;11.13;2.93126;-0.00310471
-0.0154259;11.15;2.94194;-0.00369789
-0.0154687;11.17;2.95263;-0.00430824
-0.0155131;11.19;2.96291;-0.00433972
-0.0155696;11.22;2.97713;-0.00359966
-0.0156024;11.24;2.9865;-0.00340559
-0.0156201;11.25;2.99172;-0.00335886
-0.0156595;11.27;3.00246;-0.00398256
-0.0157022;11.29;3.01302;-0.00411536
-0.0157455;11.31;3.02343;-0.00419357
-0.0157968;11.34;3.03728;-0.00321986
-0.0158117;11.35;3.04213;-0.00290515
-0.0158276;11.36;3.04732;-0.00321796
-0.0158655;11.38;3.05809;-0.00381305
-0.0159078;11.4;3.0685;-0.00433161
-0.0159701;11.43;3.08321;-0.00413134
-0.0160045;11.4501;3.09218;-0.00355198
-0.0160206;11.46;3.09694;-0.00318958
-0.0160571;11.48;3.10741;-0.00378182
-0.0160987;11.5;3.11797;-0.00409987
-0.0161424;11.52;3.12825;-0.00440117
-0.0162011;11.55;3.14263;-0.00376984
-0.0162178;11.56;3.14721;-0.00349899
-0.0162505;11.58;3.15715;-0.00308128
-0.0162869;11.6;3.16774;-0.00379845
-0.0163277;11.62;3.17818;-0.00400635
-0.0163697;11.6401;3.18834;-0.00427051
-0.0164234;11.67;3.20217;-0.00350066
-0.0164755;11.7001;3.21685;-0.00358935
-0.0165143;11.72;3.22753;-0.00368997
-0.0165534;11.74;3.23763;-0.00405332
-0.0165946;11.7601;3.24782;-0.00401517
-0.01663;11.78;3.25695;-0.00376149
-0.016646;11.79;3.26146;-0.00329801
-0.0166808;11.81;3.27156;-0.00358792
-0.0167213;11.83;3.28237;-0.00392207
-0.0167657;11.85;3.29299;-0.00443133
-0.0168107;11.87;3.30312;-0.00445517
-0.0168306;11.88;3.30779;-0.00406989
-0.0168637;11.9;3.31688;-0.00319823
-0.0169168;11.93;3.33226;-0.00371321
-0.0169589;11.9501;3.34291;-0.00419029
-0.0170018;11.97;3.35314;-0.00419267
-0.0170415;11.99;3.36293;-0.00393041
-0.0170587;12;3.36757;-0.00348409
-0.0171079;12.03;3.38219;-0.00324281
-0.0171446;12.05;3.39287;-0.00362857
-0.017185;12.07;3.40331;-0.00411495
-0.0172271;12.09;3.4135;-0.00413861
-0.0172466;12.1;3.4182;-0.00416937
-0.0172785;12.12;3.42711;-0.002983
-0.0173245;12.15;3.44231;-0.00307264
-0.0173609;12.17;3.4529;-0.00379839
-0.0174013;12.19;3.46321;-0.00403681
-0.0174215;12.2001;3.46825;-0.00399985
-0.0174569;12.22;3.47777;-0.00343623
-0.0175027;12.25;3.49218;-0.00292601
-0.0175367;12.27;3.5027;-0.0035192
-0.0175754;12.29;3.5132;-0.00386061
-0.017618;12.31;3.52352;-0.00439276
-0.0176737;12.34;3.53749;-0.00358309
-0.0177216;12.37;3.55199;-0.00302669
-0.0177551;12.3901;3.56261;-0.00328155
-0.0177909;12.41;3.5728;-0.00375172
-0.0178101;12.42;3.5779;-0.00374486
-0.017828;12.43;3.58284;-0.00352933
-0.0178706;12.46;3.59639;-0.00274935
-0.0179172;12.49;3.61165;-0.00335755
-0.0179557;12.5101;3.62258;-0.00369706
-0.017995;12.53;3.63295;-0.0038754
-0.0180454;12.56;3.64727;-0.00316634
-0.0180889;12.59;3.66176;-0.00283375
-0.0181226;12.61;3.6725;-0.00345077
-0.0181604;12.63;3.683;-0.00375213
-0.0181987;12.65;3.69332;-0.00366797
-0.0182432;12.68;3.70717;-0.00275817
-0.0182874;12.71;3.72234;-0.00307288
-0.018322;12.73;3.73302;-0.00339617
-0.0183403;12.74;3.73827;-0.00356688
-0.0183599;12.75;3.74352;-0.00389876
-0.018412;12.78;3.75789;-0.00335111
-0.0184565;12.81;3.77208;-0.00292577
-0.0184898;12.83;3.78286;-0.00326576
-0.0185268;12.85;3.79329;-0.00382175
-0.018567;12.87;3.80349;-0.00406112
-0.0186179;12.9;3.8174;-0.00326004
-0.0186653;12.93;3.83214;-0.00316467
-0.0186991;12.9501;3.84279;-0.00318136
-0.0187351;12.97;3.85323;-0.00372114
-0.0187882;13;3.86785;-0.00354447
-0.0188338;13.03;3.8817;-0.00304188
-0.0188666;13.05;3.89214;-0.00324216
-0.0188841;13.06;3.89739;-0.00342812
-0.0189025;13.07;3.90264;-0.00358262
-0.0189399;13.09;3.91286;-0.00372871
-0.0189881;13.12;3.92696;-0.00310501
-0.0190301;13.15;3.9413;-0.00274881
-0.0190615;13.17;3.95214;-0.00305685
-0.0190972;13.19;3.9627;-0.00369676
-0.0191355;13.21;3.97304;-0.0037144
-0.0191798;13.24;3.98693;-0.00266393
-0.0192219;13.27;4.00228;-0.00281741
-0.0192374;13.28;4.00762;-0.00301101
-0.0192545;13.29;4.01293;-0.00341918
-0.0192911;13.31;4.02343;-0.0035515
-0.0193375;13.34;4.03783;-0.00289156
-0.0193762;13.37;4.05217;-0.00250198
-0.0193904;13.38;4.05748;-0.00286438
-0.0194063;13.3901;4.06289;-0.00300361
-0.0194392;13.41;4.07314;-0.00341131
-0.0194739;13.43;4.08339;-0.00335981
-0.0195151;13.46;4.09725;-0.00259496
-0.0195562;13.49;4.11235;-0.00284912
-0.0195902;13.5101;4.12313;-0.00345089
-0.0196252;13.53;4.13335;-0.003397
-0.0196716;13.56;4.14785;-0.00300552
-0.0197101;13.59;4.16195;-0.00246288
-0.0197232;13.6;4.16726;-0.00247087
-0.0197377;13.61;4.1726;-0.00293245
-0.0197703;13.63;4.18303;-0.00332631
-0.0198051;13.65;4.19329;-0.00345911
-0.0198484;13.68;4.20726;-0.00273491
-0.0198738;13.7001;4.21679;-0.00259424
-0.0198878;13.71;4.222;-0.002764
-0.0199199;13.73;4.23269;-0.00324989
-0.0199537;13.75;4.24306;-0.00327374
-0.0199862;13.77;4.25307;-0.00322033
-0.0200236;13.8;4.26656;-0.00231911
-0.0200336;13.81;4.27126;-0.0019548
-0.0200576;13.83;4.2817;-0.00263287
-0.0200901;13.85;4.29262;-0.00332714
