"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;0;0;-0.00393798
0;0.100037;0;-0.00389928
0;0.210022;0;-0.00388372
-5.58277e-015;0.320007;1.36424e-012;-0.00430071
-4.96559e-007;0.420044;0.000122713;-0.00379228
-4.23666e-006;0.530029;0.00110509;-0.0038221
-1.06216e-005;0.640015;0.00274255;-0.00397644
-1.92657e-005;0.740051;0.00487115;-0.00414548
-2.99474e-005;0.850037;0.00761297;-0.00364623
-3.91692e-005;0.930054;0.0100277;-0.00399182
-4.31434e-005;0.960022;0.01101;-0.00409997
-5.95658e-005;1.07001;0.015023;-0.00408447
-7.65371e-005;1.17004;0.0191162;-0.00420806
-8.20842e-005;1.20001;0.0204666;-0.00400743
-9.71226e-005;1.28003;0.0243156;-0.00380668
-0.00011971;1.39001;0.0301254;-0.00396893
-0.000122121;1.40002;0.0307396;-0.00388405
-0.000141794;1.49005;0.035897;-0.00374463
-0.000159356;1.57001;0.0408523;-0.00334361
-0.000166657;1.60004;0.042897;-0.00379815
-0.000195693;1.71002;0.0503891;-0.00395295
-0.000198236;1.72003;0.0510452;-0.0037994
-0.000226224;1.82001;0.0584953;-0.00371393
-0.000238244;1.86005;0.0615661;-0.00411447
-0.000256202;1.92004;0.0661094;-0.00379094
-0.000277728;1.99005;0.0718391;-0.00372299
-0.000291577;2.03003;0.075444;-0.00396028
-0.0003187;2.11005;0.0826423;-0.00357571
-0.000329061;2.14001;0.0854728;-0.00374498
-0.000356979;2.22003;0.093045;-0.00362899
-0.000364421;2.24005;0.0949676;-0.00411251
-0.000401958;2.33002;0.104092;-0.00411483
-0.000410749;2.35004;0.106221;-0.00414535
-0.000443964;2.43005;0.114415;-0.00396176
-0.000456196;2.46002;0.117524;-0.0039074
-0.000484972;2.53003;0.12497;-0.00382157
-0.000502561;2.57001;0.129517;-0.00391455
-0.00052472;2.62;0.135369;-0.00365896
-0.000546912;2.67004;0.141389;-0.00371428
-0.000565143;2.71002;0.146302;-0.00370665
-0.00059891;2.78003;0.155022;-0.00403793
-0.00060884;2.80005;0.157479;-0.00404556
-0.000649286;2.88;0.167672;-0.00389059
-0.000654432;2.89001;0.168977;-0.00399931
-0.000689953;2.96001;0.177865;-0.00399283
-0.000704432;2.99004;0.181627;-0.00370625
-0.00073011;3.04003;0.188463;-0.00380638
