"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;9.53696e-009;0;-0.00703383
0;0.0999756;0;-0.00715714
0;0.209961;0;-0.00731191
0;0.309998;0;-0.00735017
-3.02154e-007;0.419983;4.09354e-005;-0.00741234
-5.32346e-006;0.529968;0.000736092;-0.00703421
-1.59506e-005;0.630005;0.00221047;-0.00738146
-3.44834e-005;0.73999;0.00466618;-0.00771221
-5.24411e-005;0.849976;0.00704083;-0.00741226
-7.43963e-005;0.949951;0.0100277;-0.00728876
-7.6459e-005;0.959961;0.0103157;-0.00703508
-0.000100983;1.06;0.0138348;-0.00690252
-0.000132132;1.16998;0.018256;-0.00718825
-0.000144984;1.20996;0.0200585;-0.00707286
-0.000168222;1.27997;0.0233296;-0.00713497
-0.000204804;1.38;0.0284489;-0.00715684
-0.00021725;1.40997;0.0301693;-0.00731193
-0.000250432;1.48999;0.0347508;-0.00717341
-0.00029023;1.57996;0.0402783;-0.00722658
-0.000298984;1.59998;0.0415066;-0.00702666
-0.000351193;1.70996;0.0489987;-0.00691055
-0.000360245;1.72998;0.0503071;-0.00692581
-0.00040122;1.81;0.0562428;-0.00688027
-0.000432117;1.87;0.060706;-0.00696497
-0.000458222;1.91998;0.0645131;-0.0067492
-0.000502368;2;0.0710209;-0.00681787
-0.000519801;2.02997;0.0735997;-0.00670247
-0.000576188;2.12;0.0817059;-0.00720947
-0.000582596;2.13;0.0826062;-0.00702637
-0.000649429;2.22998;0.0921811;-0.00693371
-0.00065575;2.23999;0.0930851;-0.0070491
-0.000724896;2.33997;0.102992;-0.00691034
-0.000732012;2.34998;0.104014;-0.00701048
-0.000798154;2.44;0.113387;-0.00710322
-0.000812775;2.45996;0.115516;-0.00663419
-0.000869449;2.53998;0.12387;-0.00693365
-0.000884601;2.56;0.126075;-0.00681062
-0.000941195;2.63;0.134223;-0.00708039
-0.000974236;2.66998;0.138892;-0.00707247
-0.00101833;2.71997;0.14511;-0.00711121
-0.00107103;2.77997;0.15248;-0.0071887
-0.0010973;2.81;0.156203;-0.00692691
-0.00115942;2.88;0.165091;-0.00704922
-0.00116875;2.88995;0.166404;-0.00717224
-0.00124094;2.96997;0.176551;-0.00705745
-0.00125858;2.98999;0.179091;-0.0068257
-0.00131272;3.04999;0.186988;-0.00688722
-0.00136275;3.09998;0.194152;-0.00708033
-0.00138345;3.12;0.197142;-0.00676383
-0.00145927;3.19995;0.208526;-0.00655641
-0.00146888;3.20996;0.209952;-0.00692453
-0.00152951;3.26996;0.218757;-0.00684871
-0.00157192;3.31;0.224814;-0.00715055
-0.00160223;3.33997;0.22911;-0.00696506
-0.00167428;3.40997;0.239264;-0.00722583
-0.00168502;3.41998;0.240783;-0.00691111
-0.00175363;3.47998;0.250525;-0.00717445
-0.00181251;3.52997;0.258796;-0.00706454
