"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,157.812,-39.2326,204.368,0,0,0,0.00107381,0.00171626,0.00420907,0.0116895,151.871,-37.3195,144.675,0,0,0,0.000812897,0.0012376,0.00313999,0.00789189,154.598,-34.4965,87.8032,0,0,0,0.000883373,0.00142528,0.00369481,0.00800684,153.88,-36.2815,32.03,0,0,0,0.00091322,0.00158519,0.0040035,0.00790902,6.33047,-15.0655,0.014952,0,0,0,0.00245038,0.00183888,0.00433353,0.00878382
1,157.812,-39.2326,204.368,0.0702521,-0.0474861,-0.0590791,0.000514722,0.000734358,0.00178478,0.00349802,151.871,-37.3195,144.675,0.0497218,-0.0362042,-0.0659222,0.000435073,0.000619289,0.0015558,0.00276851,154.598,-34.4965,87.8032,0.0305572,-0.0294969,-0.0667444,0.000324316,0.000474396,0.00123293,0.00187773,153.88,-36.2815,32.03,0.00804567,-0.0157839,-0.0607376,0.000310472,0.000493401,0.00124904,0.00174085,6.33047,-15.0655,0.014952,-0.00114106,-0.00278311,-0.00444358,0.000905388,0.000962546,0.00232532,0.00319773
2,157.812,-39.2326,204.368,-0.00473211,0.0433929,0.0175053,0.000511716,0.000722518,0.00175859,0.00345195,151.871,-37.3195,144.675,-0.00257995,0.0354207,-0.0022273,0.000436775,0.000624573,0.00157078,0.00277786,154.598,-34.4965,87.8032,0.00139737,0.0252163,0.00164343,0.000310435,0.000453328,0.0011789,0.00179326,153.88,-36.2815,32.03,0.00083055,0.0196427,0.00390202,0.000308108,0.000490413,0.00123966,0.00172381,6.33047,-15.0655,0.014952,0.00083071,0.00241004,0.00555652,0.000921407,0.000958672,0.00231455,0.00318652
3,157.812,-39.2326,204.368,0.0311812,-0.027536,-0.0251771,0.000531671,0.000747039,0.00182015,0.00356653,151.871,-37.3195,144.675,0.0208256,-0.0179388,-0.0472628,0.000444161,0.000633806,0.00159382,0.00282191,154.598,-34.4965,87.8032,0.0161517,-0.0192218,-0.047745,0.000301519,0.000442998,0.00115113,0.00175055,153.88,-36.2815,32.03,0.00246333,-0.00724423,-0.0424668,0.000312309,0.000496428,0.00125405,0.00174848,6.33047,-15.0655,0.014952,-0.00202664,-0.00316735,-0.0044144,0.000905269,0.000951245,0.00229758,0.00316257
4,157.812,-39.2326,204.368,-0.0431119,0.00990722,0.036409,0.00055144,0.000774461,0.00188798,0.00369259,151.871,-37.3195,144.675,-0.0317153,0.0139338,0.00820203,0.0004548,0.000653003,0.00164024,0.00290021,154.598,-34.4965,87.8032,-0.0128621,0.00704961,0.0122786,0.000314356,0.000463584,0.00120526,0.00182531,153.88,-36.2815,32.03,-0.00565547,0.00999423,0.00986997,0.000321204,0.000507705,0.0012828,0.00178812,6.33047,-15.0655,0.014952,0.000239435,0.000437681,0.000680363,0.000925898,0.000964079,0.00232713,0.00320381
5,157.812,-39.2326,204.368,-0.0827202,0.0439234,0.0639348,0.000493241,0.000697958,0.00169735,0.0033236,151.871,-37.3195,144.675,-0.0615635,0.0361299,0.0295119,0.000455719,0.000648978,0.00163295,0.00288896,154.598,-34.4965,87.8032,-0.0282162,0.0185751,0.0353566,0.000326298,0.000478787,0.00124414,0.00188775,153.88,-36.2815,32.03,-0.0110722,0.0199112,0.0395593,0.000311194,0.000496122,0.00125621,0.00174429,6.33047,-15.0655,0.014952,-0.000987538,-0.00396725,-0.00547697,0.000933564,0.000967351,0.00233495,0.00322014
6,157.812,-39.2326,204.368,-0.0768412,-0.00900259,0.0542864,0.000478982,0.000680383,0.00165074,0.00323853,151.871,-37.3195,144.675,-0.0598186,0.000779582,0.0225969,0.000447219,0.000632677,0.00159241,0.00282402,154.598,-34.4965,87.8032,-0.025009,-0.00307091,0.0300604,0.000314744,0.000464674,0.00120712,0.0018266,153.88,-36.2815,32.03,-0.00917592,0.0132786,0.0248644,0.000315443,0.000501588,0.0012698,0.00176549,6.33047,-15.0655,0.014952,-0.000271707,-0.0013138,-0.00287385,0.000944235,0.000976333,0.00235567,0.003249
7,157.812,-39.2326,204.368,0.00381968,0.0448335,-0.00145221,0.000509405,0.000718057,0.00174734,0.00342774,151.871,-37.3195,144.675,-0.0045652,0.04142,-0.0292631,0.000446041,0.000632405,0.00159029,0.0028263,154.598,-34.4965,87.8032,0.011668,0.0201408,-0.0230374,0.000310653,0.000456872,0.00118762,0.00180402,153.88,-36.2815,32.03,0.0046812,0.0246968,-0.0313151,0.000307261,0.000487539,0.00123232,0.00171981,6.33047,-15.0655,0.014952,-0.00115199,-0.00384112,-0.00459488,0.000927768,0.000972216,0.00234841,0.00323262
8,157.812,-39.2326,204.368,0.132931,0.00324452,-0.101064,0.000514388,0.000721702,0.00175366,0.00344787,151.871,-37.3195,144.675,0.0844745,0.00559374,-0.126245,0.000444487,0.000630154,0.00158568,0.00281504,154.598,-34.4965,87.8032,0.0674222,-0.00605191,-0.113901,0.000311887,0.00045875,0.00119219,0.00181173,153.88,-36.2815,32.03,0.0236511,0.00460087,-0.136229,0.00031665,0.000494583,0.00124794,0.00174818,6.33047,-15.0655,0.014952,-0.00103267,-0.00167734,0.00116653,0.000933885,0.000979102,0.00236446,0.00325229
9,157.812,-39.2326,204.368,0.00357273,-0.0144185,-0.0184667,0.000537491,0.000757594,0.00184107,0.00361611,151.871,-37.3195,144.675,-0.00823456,-0.00335255,-0.0398328,0.000429015,0.0006115,0.00153819,0.00272714,154.598,-34.4965,87.8032,0.0136019,-0.01222,-0.0252537,0.000303158,0.000441428,0.00114663,0.00174669,153.88,-36.2815,32.03,0.00486809,0.00859542,-0.0525656,0.000306598,0.000487192,0.00123234,0.00171814,6.33047,-15.0655,0.014952,-0.0012237,-0.00372912,-0.00447694,0.00094125,0.000984929,0.00237645,0.00326764
10,157.812,-39.2326,204.368,-0.0704554,0.0132907,0.0392284,0.000519863,0.000735244,0.00178189,0.00351054,151.871,-37.3195,144.675,-0.0611267,0.0157582,0.0116495,0.00042451,0.000606587,0.0015258,0.00270163,154.598,-34.4965,87.8032,-0.0160229,0.00560928,0.0380187,0.000309277,0.000452433,0.00117636,0.00179137,153.88,-36.2815,32.03,-0.00443882,0.0222323,-0.00381919,0.000333909,0.000529713,0.00134013,0.00186953,6.33047,-15.0655,0.014952,-0.000623363,-3.72163e-05,-0.000509537,0.000941925,0.000975968,0.00235332,0.00324131
11,157.812,-39.2326,204.368,-0.0714181,-0.0422274,0.03055,0.000529662,0.000737238,0.00179234,0.00352879,151.871,-37.3195,144.675,-0.0616435,-0.0245411,0.00656768,0.000436459,0.0006209,0.00156214,0.00276905,154.598,-34.4965,87.8032,-0.0152824,-0.027464,0.0304743,0.00030579,0.000448035,0.00116413,0.00177052,153.88,-36.2815,32.03,-0.00477097,0.0058709,-0.018698,0.000325156,0.000515439,0.00130428,0.00181925,6.33047,-15.0655,0.014952,-0.000951073,-0.00232267,-0.00587855,0.000907693,0.000949233,0.00229103,0.00315563
