"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,157.683,-26.7845,164.529,0,0,0,0.0011458,0.00172923,0.00405493,0.0106654,156.769,-28.2178,85.0329,0,0,0,0.000957375,0.00149985,0.00360252,0.00843698,156.338,-26.9296,6.04384,0,0,0,0.00104367,0.00181163,0.00419478,0.00892418,156.302,-27.5261,-71.3474,0,0,0,0.000821897,0.00159015,0.00354459,0.00673741,5.51903,-13.1888,-0.00123566,0,0,0,0.00192739,0.00137554,0.00313212,0.00673864
1,157.683,-26.7845,164.529,-0.0387054,0.039226,0.0105261,0.000512538,0.000735293,0.0017231,0.0031999,156.769,-28.2178,85.0329,-0.0256981,0.0176141,0.00210235,0.000410878,0.000616906,0.00148422,0.00243447,156.338,-26.9296,6.04384,-0.0118006,0.00843182,0.02189,0.000381493,0.000626603,0.00146853,0.00218463,156.302,-27.5261,-71.3474,0.0138765,0.0020057,0.00557619,0.000518967,0.000954851,0.0021569,0.00287917,5.51903,-13.1888,-0.00123566,-0.000342487,0.000666082,0.000374792,0.000944389,0.000936722,0.00217801,0.00318838
2,157.683,-26.7845,164.529,0.0025962,-0.0146097,-0.0616841,0.00052519,0.000755052,0.00176886,0.00327771,156.769,-28.2178,85.0329,-0.0112132,-0.0129333,-0.0717349,0.000407231,0.0006122,0.00147205,0.00241429,156.338,-26.9296,6.04384,-0.0209332,0.00221879,-0.0449657,0.000382087,0.000626797,0.00146805,0.0021915,156.302,-27.5261,-71.3474,-0.00693016,0.0335116,-0.0737707,0.000522047,0.000956571,0.00216246,0.00289365,5.51903,-13.1888,-0.00123566,-0.000610807,-0.00199317,-0.00294257,0.000949054,0.000938544,0.00217979,0.00319361
3,157.683,-26.7845,164.529,-0.166443,0.125995,0.0847179,0.000515218,0.000740547,0.00173581,0.00321213,156.769,-28.2178,85.0329,-0.100969,0.076887,0.0673589,0.000404091,0.000605918,0.00145711,0.00239395,156.338,-26.9296,6.04384,-0.0314701,0.0529569,0.112972,0.000348382,0.000573936,0.00134238,0.00200505,156.302,-27.5261,-71.3474,0.0726738,0.0471965,0.0582254,0.000516457,0.000945971,0.00213634,0.00286297,5.51903,-13.1888,-0.00123566,0.00104737,0.000672112,-0.00119538,0.000941204,0.000930403,0.00215933,0.00316839
4,157.683,-26.7845,164.529,-0.0232772,0.0467901,-0.0715571,0.000508701,0.000730786,0.00171422,0.00317539,156.769,-28.2178,85.0329,-0.0333924,0.0251071,-0.0895859,0.000401685,0.000605115,0.00145528,0.00238102,156.338,-26.9296,6.04384,-0.0385119,0.0266032,-0.0349818,0.000352254,0.000583212,0.00136393,0.00203646,156.302,-27.5261,-71.3474,0.00449296,0.0574094,-0.112188,0.000518855,0.000954859,0.00215637,0.002879,5.51903,-13.1888,-0.00123566,0.000280905,0.000976902,0.00192947,0.000927613,0.000910854,0.00211494,0.00310234
5,157.683,-26.7845,164.529,-0.0364733,-0.00696418,-0.0866912,0.000516542,0.000740002,0.00173619,0.00321801,156.769,-28.2178,85.0329,-0.0440588,-0.00641937,-0.106716,0.000430616,0.000643009,0.00154723,0.0025422,156.338,-26.9296,6.04384,-0.0491849,0.0230519,-0.0384613,0.000386817,0.000636996,0.00149067,0.00222426,156.302,-27.5261,-71.3474,0.00682195,0.0872007,-0.14354,0.000530234,0.000971536,0.00219713,0.0029296,5.51903,-13.1888,-0.00123566,-0.00122408,-0.000990443,-0.00321549,0.000934769,0.000925497,0.00214997,0.00315296
6,157.683,-26.7845,164.529,-0.0842618,0.0820001,-0.0475036,0.000513735,0.000740198,0.00173558,0.00321096,156.769,-28.2178,85.0329,-0.0709821,0.0481556,-0.071665,0.00042147,0.000630525,0.00151626,0.0024915,156.338,-26.9296,6.04384,-0.0568591,0.0472438,0.00332687,0.000377078,0.000621528,0.001455,0.00217321,156.302,-27.5261,-71.3474,0.0311699,0.0922474,-0.125282,0.00054026,0.000988694,0.00223639,0.00297394,5.51903,-13.1888,-0.00123566,-0.000105749,-0.00133641,-0.00382697,0.000945377,0.00093612,0.00217429,0.00318423
7,157.683,-26.7845,164.529,-0.225424,0.0259255,0.065592,0.000510566,0.000735102,0.00172396,0.00319005,156.769,-28.2178,85.0329,-0.148178,0.0282077,0.038205,0.000383473,0.000576887,0.00138767,0.00227537,156.338,-26.9296,6.04384,-0.0686378,0.0662946,0.125317,0.000360311,0.000593388,0.00138975,0.00207571,156.302,-27.5261,-71.3474,0.0951618,0.149163,-0.0420725,0.000544797,0.0010013,0.00226168,0.00301772,5.51903,-13.1888,-0.00123566,0.000350124,0.000573835,-0.00665574,0.00094131,0.000932172,0.00216557,0.00317622
8,157.683,-26.7845,164.529,-0.0125637,0.0595962,-0.136012,0.000499625,0.000719215,0.00168633,0.00312265,156.769,-28.2178,85.0329,-0.045348,0.0421217,-0.161472,0.000386141,0.000582161,0.00140033,0.00229145,156.338,-26.9296,6.04384,-0.0698233,0.0564747,-0.0704252,0.000349432,0.000573046,0.00134322,0.00200215,156.302,-27.5261,-71.3474,0.00209805,0.128611,-0.259253,0.000534821,0.000984971,0.00222565,0.00296517,5.51903,-13.1888,-0.00123566,-0.000165886,-0.00339748,-0.00428803,0.00093858,0.00091789,0.00213285,0.00312517
9,157.683,-26.7845,164.529,-0.159953,0.0656612,-0.0114696,0.00050778,0.000734265,0.00172076,0.00318396,156.769,-28.2178,85.0329,-0.127275,0.0563553,-0.0326954,0.000385938,0.000583557,0.00140348,0.00229416,156.338,-26.9296,6.04384,-0.0788722,0.0802234,0.0689524,0.000334395,0.000553122,0.00129532,0.00193246,156.302,-27.5261,-71.3474,0.0707076,0.157518,-0.154826,0.000534783,0.000978404,0.002213,0.00295298,5.51903,-13.1888,-0.00123566,0.000494312,0.00224472,-0.00108487,0.000932648,0.000907323,0.00210777,0.00309256
10,157.683,-26.7845,164.529,-0.037162,0.0747366,-0.145006,0.000508554,0.000734646,0.00172296,0.00317498,156.769,-28.2178,85.0329,-0.0708834,0.0582997,-0.154078,0.0003832,0.000576743,0.00138732,0.00227439,156.338,-26.9296,6.04384,-0.0796391,0.070671,-0.0596496,0.000352893,0.000583924,0.00136655,0.00203998,156.302,-27.5261,-71.3474,0.0154657,0.149936,-0.298337,0.000522015,0.000959924,0.00216765,0.00289423,5.51903,-13.1888,-0.00123566,-0.000472579,-0.00264333,-0.00342937,0.000956698,0.000924666,0.00214739,0.00315188
11,157.683,-26.7845,164.529,-0.288395,0.0306827,0.0508836,0.000497048,0.000714228,0.00167461,0.00309862,156.769,-28.2178,85.0329,-0.204541,0.0507444,0.0600088,0.000400885,0.000600045,0.00144397,0.00237318,156.338,-26.9296,6.04384,-0.0883511,0.0991423,0.151752,0.000364409,0.000600682,0.00140651,0.00209603,156.302,-27.5261,-71.3474,0.128905,0.21413,-0.104792,0.000503353,0.000925925,0.00208946,0.00280254,5.51903,-13.1888,-0.00123566,0.000208989,0.000661061,-0.00814082,0.000973142,0.000942907,0.00218811,0.0032155
12,157.683,-26.7845,164.529,0.0853831,0.0883878,-0.298473,0.000515262,0.000740301,0.00173638,0.0032117,156.769,-28.2178,85.0329,-0.0178443,0.0705758,-0.268091,0.000385733,0.000580373,0.00139727,0.00229095,156.338,-26.9296,6.04384,-0.0772383,0.0790314,-0.190213,0.000377237,0.000621916,0.00145626,0.00217881,156.302,-27.5261,-71.3474,-0.0372666,0.158262,-0.456395,0.000515419,0.00094367,0.00213331,0.00285557,5.51903,-13.1888,-0.00123566,-0.000187441,0.00132634,0.00447673,0.000973605,0.000946373,0.00219502,0.00322326
13,157.683,-26.7845,164.529,-0.145571,0.0337148,-0.120744,0.000496753,0.000714482,0.00167427,0.00310126,156.769,-28.2178,85.0329,-0.139583,0.0562482,-0.0642948,0.000373806,0.000563196,0.00135601,0.00221561,156.338,-26.9296,6.04384,-0.0830096,0.0969546,-0.00730717,0.000378051,0.000622689,0.0014582,0.00218227,156.302,-27.5261,-71.3474,0.0645329,0.211751,-0.276841,0.000503191,0.000924412,0.00208923,0.00279141,5.51903,-13.1888,-0.00123566,-0.000498446,0.000996666,-0.0040141,0.000945628,0.000931595,0.00216268,0.00317812
14,157.683,-26.7845,164.529,-0.0655256,-0.00350187,-0.212782,0.000497997,0.000715018,0.00167724,0.00310572,156.769,-28.2178,85.0329,-0.102238,0.0355025,-0.134418,0.000371224,0.00055826,0.00134337,0.00219732,156.338,-26.9296,6.04384,-0.0798617,0.0907964,-0.107597,0.000397351,0.000655901,0.00153652,0.0022902,156.302,-27.5261,-71.3474,0.027849,0.22728,-0.367733,0.000506619,0.000930013,0.00210291,0.00280286,5.51903,-13.1888,-0.00123566,-0.000417836,-0.00186192,-0.00494194,0.000940435,0.000928849,0.00215682,0.00316462
15,157.683,-26.7845,164.529,-0.150175,0.00342946,-0.142789,0.000501444,0.000717553,0.00168294,0.00312226,156.769,-28.2178,85.0329,-0.148206,0.0522308,-0.0423358,0.00037107,0.000558176,0.00134314,0.00219489,156.338,-26.9296,6.04384,-0.0801703,0.113126,-0.0463676,0.00040254,0.000659918,0.001547,0.00231216,156.302,-27.5261,-71.3474,0.0648044,0.255821,-0.294102,0.000523132,0.000963032,0.00217649,0.00289527,5.51903,-13.1888,-0.00123566,-0.000137492,0.00127672,-0.00533963,0.000936883,0.000904443,0.00209951,0.00308207
16,157.683,-26.7845,164.529,0.0955641,0.0479273,-0.359549,0.000493484,0.000708584,0.00166243,0.0030776,156.769,-28.2178,85.0329,-0.024507,0.0723302,-0.234679,0.000377088,0.000568658,0.00136821,0.00223452,156.338,-26.9296,6.04384,-0.0724658,0.104058,-0.277467,0.000385544,0.000636066,0.00148908,0.00222644,156.302,-27.5261,-71.3474,-0.0447885,0.220957,-0.516686,0.000502137,0.000927667,0.00209462,0.00278077,5.51903,-13.1888,-0.00123566,0.000298468,0.000938753,0.00528219,0.000946219,0.000916708,0.00212956,0.00312042
17,157.683,-26.7845,164.529,-0.0938157,-0.0118671,-0.195672,0.000499473,0.000717738,0.00168385,0.00311917,156.769,-28.2178,85.0329,-0.123649,0.0544826,-0.0519491,0.000386113,0.000580826,0.00139735,0.00228299,156.338,-26.9296,6.04384,-0.0783037,0.122101,-0.131121,0.000400188,0.000659777,0.00154604,0.00230645,156.302,-27.5261,-71.3474,0.0400448,0.274095,-0.355226,0.000503267,0.000929282,0.00210004,0.00277723,5.51903,-13.1888,-0.00123566,0.000486145,0.00195498,-0.00230644,0.000928754,0.000919396,0.00213671,0.00313115
18,157.683,-26.7845,164.529,0.0262272,-0.037276,-0.303944,0.00051118,0.000731708,0.00171871,0.00317992,156.769,-28.2178,85.0329,-0.0652672,0.0359892,-0.152264,0.000374182,0.000563843,0.00135578,0.00221571,156.338,-26.9296,6.04384,-0.0766695,0.10382,-0.273027,0.000388677,0.000639715,0.00149672,0.00223338,156.302,-27.5261,-71.3474,-0.0161247,0.264899,-0.469759,0.000519512,0.000954712,0.00215965,0.00286525,5.51903,-13.1888,-0.00123566,-0.000935227,-0.000607976,-0.00442956,0.000946347,0.000919433,0.00213568,0.00313142
19,157.683,-26.7845,164.529,-0.145067,-0.0301985,-0.14596,0.000514621,0.000735585,0.00172694,0.00319596,156.769,-28.2178,85.0329,-0.15253,0.0610022,0.0193034,0.000448565,0.000672425,0.00161718,0.00265739,156.338,-26.9296,6.04384,-0.0788352,0.133974,-0.138482,0.000439951,0.000725346,0.00169776,0.00253294,156.302,-27.5261,-71.3474,0.0628977,0.299911,-0.320926,0.000509989,0.000933811,0.00211049,0.00280844,5.51903,-13.1888,-0.00123566,8.41506e-05,0.000815688,-0.00672776,0.000945369,0.000945797,0.00219668,0.0032196
20,157.683,-26.7845,164.529,0.0317446,0.0231117,-0.301431,0.000507348,0.000726845,0.00170716,0.00315546,156.769,-28.2178,85.0329,-0.0602004,0.0920648,-0.129927,0.000426242,0.000640061,0.00153925,0.00252819,156.338,-26.9296,6.04384,-0.0713589,0.132101,-0.323271,0.000430312,0.000704401,0.00164971,0.00245854,156.302,-27.5261,-71.3474,-0.013633,0.274547,-0.481921,0.000517566,0.000947845,0.00214239,0.00285075,5.51903,-13.1888,-0.00123566,-0.000226192,-0.00430658,-0.00624154,0.000944902,0.00093895,0.00217974,0.00319532
